id,name,type,rare,RST,RPoint,attack,defense,ruin,speed,attack_grow,defense_grow,ruin_grow,speed_grow,skill0_type,skill0_id,skill1_type,skill1_id,skill2_type,skill2_id,icon,name_en
1086,{海鲨刺客} 5★,3,5,3,"0.4,0.6,0,0",90,120,78,72,1.5,2,1.3,1.2,0,0,0,0,0,0,1082,Shark Assassin 5★
1087,{海鲨盗贼} 5★,3,5,2,"0.7,0,0.3,0",120,78,84,78,2,1.3,1.4,1.3,0,0,0,0,0,0,1083,Shark Thief 5★
1088,{海鲨禁军} 5★,3,5,4,"0.4,0,0.6,0",96,66,120,78,1.6,1.1,2,1.3,0,0,0,0,0,0,1084,Shark Elite 5★
1089,{海鲨首领},3,5,2,"0.7,0,0.3,0",140,112,126,112,2,1.6,1.8,1.6,0,0,0,0,0,0,1089,Shark Lord
1091,{空域守护者} 4★,3,4,1,"0,0.6,0,0.4",50,75,50,75,1,1.5,1,1.5,0,0,0,0,0,0,1091,Skyguard 4★
1092,{空域战士} 4★,3,4,3,"0.4,0.6,0,0",52,82,60,55,1.05,1.65,1.2,1.1,0,0,0,0,0,0,1092,Sky Warrior 4★
1093,{空域弓箭手} 4★,3,4,2,"0.7,0,0.3,0",82,57,60,50,1.65,1.15,1.2,1,0,0,0,0,0,0,1093,Sky Archer 4★
1094,{空域刺客} 4★,3,4,4,"0.4,0,0.6,0",65,52,82,50,1.3,1.05,1.65,1,0,0,0,0,0,0,1094,Sky Assassin 4★
1095,{空域守护者} 5★,3,5,1,"0,0.6,0,0.4",75,105,75,105,1.25,1.75,1.25,1.75,0,0,0,0,0,0,1091,Skyguard 5★
1096,{空域战士} 5★,3,5,3,"0.4,0.6,0,0",90,120,78,72,1.5,2,1.3,1.2,0,0,0,0,0,0,1092,Sky Warrior 5★
1097,{空域弓箭手} 5★,3,5,2,"0.7,0,0.3,0",120,78,84,78,2,1.3,1.4,1.3,0,0,0,0,0,0,1093,Sky Archer 5★
1098,{空域刺客} 5★,3,5,4,"0.4,0,0.6,0",96,66,120,78,1.6,1.1,2,1.3,0,0,0,0,0,0,1094,Sky Assassin 5★
1099,{空域武神},3,5,2,"0.7,0,0.3,0",140,112,126,112,2,1.6,1.8,1.6,0,0,0,0,0,0,1099,Skywarden
2000,{恶龙},2,5,4,"0.5,0,0.5,0",126,126,196,112,1.8,1.8,2.8,1.6,0,0,0,0,0,0,2000,Evil Dragon
2001,{索尔},1,5,3,"0,0.6,0,0.4",152,208,144,136,1.9,2.6,1.8,1.7,0,0,0,0,0,0,2001,Sol
2002,{沙帕},1,5,1,"0,0.6,0,0.4",112,154,112,154,1.6,2.2,1.6,2.2,0,0,0,0,0,0,2002,Sapa
2003,{达拉斯},1,5,2,"0.7,0,0.3,0",196,112,112,112,2.8,1.6,1.6,1.6,0,0,0,0,0,0,2002,Dalas
2004,{霍格},1,5,3,"0.4,0.6,0,0",112,196,112,112,1.6,2.8,1.6,1.6,0,0,0,0,0,0,2002,Hogg
2005,{阿西萨},1,5,4,"0.4,0,0.6,0",112,112,196,112,1.6,1.6,2.8,1.6,0,0,0,0,0,0,2002,Assisa
2006,{奥德尔},1,5,1,"0,0.6,0,0.4",112,147,112,147,1.6,2.1,1.6,2.1,0,0,0,0,0,0,2002,Oder
2007,{莱多纳姆},1,5,2,"0.7,0,0.3,0",182,112,112,112,2.6,1.6,1.6,1.6,0,0,0,0,0,0,2002,Ledonam
2008,{哈雷斯},1,5,3,"0.4,0.6,0,0",112,182,112,112,1.6,2.6,1.6,1.6,0,0,0,0,0,0,2002,Harless
2009,{利弗},1,5,4,"0.4,0,0.6,0",112,112,182,112,1.6,1.6,2.6,1.6,0,0,0,0,0,0,2002,River
2010,{冬尔顿},1,5,1,"0,0.6,0,0.4",97,130,97,130,1.5,2,1.5,2,0,0,0,0,0,0,2002,Dalton
2011,{昆特},1,5,2,"0.7,0,0.3,0",162,97,97,97,2.5,1.5,1.5,1.5,0,0,0,0,0,0,2002,Kunt
2012,{伦斯特},1,5,3,"0.4,0.6,0,0",97,162,97,97,1.5,2.5,1.5,1.5,0,0,0,0,0,0,2002,Renster
2013,{哥顿},1,5,4,"0.4,0,0.6,0",97,97,162,97,1.5,1.5,2.5,1.5,0,0,0,0,0,0,2002,Gordon's
2014,{拉里},1,5,1,"0,0.6,0,0.4",97,123,97,123,1.5,1.9,1.5,1.9,0,0,0,0,0,0,2003,Larry
2015,{格力凯特},1,5,2,"0.7,0,0.3,0",149,97,97,97,2.3,1.5,1.5,1.5,0,0,0,0,0,0,2003,Glickett
2016,{西多利},1,5,3,"0.4,0.6,0,0",97,149,97,97,1.5,2.3,1.5,1.5,0,0,0,0,0,0,2003,Gunungsitoli
2017,{卡萨尔},1,5,4,"0.4,0,0.6,0",97,97,149,97,1.5,1.5,2.3,1.5,0,0,0,0,0,0,2003,Casar
2018,{格沙图},1,5,1,"0,0.6,0,0.4",90,108,90,108,1.5,1.8,1.5,1.8,0,0,0,0,0,0,2003,Geshatu
2019,{华达},1,5,2,"0.7,0,0.3,0",126,90,90,90,2.1,1.5,1.5,1.5,0,0,0,0,0,0,2003,Huada
2020,{雷多曼},1,5,3,"0.4,0.6,0,0",90,126,90,90,1.5,2.1,1.5,1.5,0,0,0,0,0,0,2003,Redman
2021,{鲁拉卡比},1,5,4,"0.4,0,0.6,0",90,90,126,90,1.5,1.5,2.1,1.5,0,0,0,0,0,0,2003,Rulakabi
2022,{瑞沙比尔},1,5,1,"0,0.6,0,0.4",90,102,90,102,1.5,1.7,1.5,1.7,0,0,0,0,0,0,2003,Risabil
2023,{马克格拉},1,5,2,"0.7,0,0.3,0",114,84,96,90,1.9,1.4,1.6,1.5,0,0,0,0,0,0,2003,Makgra
2024,{布伦希},1,5,3,"0.4,0.6,0,0",96,114,84,90,1.6,1.9,1.4,1.5,0,0,0,0,0,0,2003,Brunch
2025,{沃尔姆斯},1,5,4,"0.4,0,0.6,0",90,90,114,90,1.5,1.5,1.9,1.5,0,0,0,0,0,0,2003,Holmes
2026,{尼伯亚},1,4,1,"0,0.6,0,0.4",82,90,77,90,1.5,1.65,1.4,1.65,0,0,0,0,0,0,2004,Nibea
2027,{卡雷特},1,4,2,"0.7,0,0.3,0",99,77,82,82,1.8,1.4,1.5,1.5,0,0,0,0,0,0,2004,Carrett
2028,{西格夫},1,4,3,"0.4,0.6,0,0",82,99,79,79,1.5,1.8,1.45,1.45,0,0,0,0,0,0,2004,Sigoff
2029,{克琳德},1,4,4,"0.4,0,0.6,0",82,82,99,77,1.5,1.5,1.8,1.4,0,0,0,0,0,0,2004,Clyde
3001,{松涛幻木},3,5,3,"0.5,0.5,0,0",90,150,90,90,1.5,2.5,1.5,1.5,0,0,0,0,0,0,3001,Pinewood Illusion
3002,{重岩刀客},3,5,2,"1,0,0,0",150,90,90,90,2.5,1.5,1.5,1.5,0,0,0,0,0,0,3002,Rockblade Swordsman
3003,{冰脊神狐},3,5,3,"0.5,0,0,0.5",90,90,90,150,1.5,1.5,1.5,2.5,0,0,0,0,0,0,3003,Frostridge Divine Fox
3004,{炽焰圣杯},3,5,4,"0.5,0,0.5,0",90,90,150,90,1.5,1.5,2.5,1.5,0,0,0,0,0,0,3004,Blazing Holy Grail
3005,{飓风游隼},3,5,3,"0.5,0.5,0,0",90,120,90,120,1.5,2,1.5,2,0,0,0,0,0,0,3005,Hurricane Peregrine
3006,{原石重暴者},3,5,4,"0.5,0,0.5,0",90,90,150,90,1.5,1.5,2.5,1.5,0,0,0,0,0,0,3006,Primitive Stone Brute
3007,{寒冰翼龙},3,5,3,"0.5,0,0,0.5",112,112,112,182,1.6,1.6,1.6,2.6,0,0,0,0,0,0,3007,Frostwing Dragon
3008,{爆裂岩浆怪},3,5,4,"0.5,0,0.5,0",112,112,182,112,1.6,1.6,2.6,1.6,0,0,0,0,0,0,3008,Eruptive Magma Beast
3009,{飞廉蛟龙},3,5,2,"1,0,0,0",182,112,112,112,2.6,1.6,1.6,1.6,0,0,0,0,0,0,3009,Feilian Dragon
3010,{土石甲龙},3,5,4,"0.5,0,0.5,0",112,112,182,112,1.6,1.6,2.6,1.6,0,0,0,0,0,0,3010,Stoneclad Earth Dragon
3011,{冰狱仲裁者},3,5,2,"1,0,0,0",224,128,128,128,2.8,1.6,1.6,1.6,0,0,0,0,0,0,3011,Frost Prison Arbiter
3012,{淬火执行者},3,5,2,"1,0,0,0",224,128,128,128,2.8,1.6,1.6,1.6,0,0,0,0,0,0,3012,Quenching Executor
3013,{红焱使徒},3,5,2,"1,0,0,0",182,112,112,112,2.6,1.6,1.6,1.6,0,0,0,0,0,0,3013,Crimson Flame Apostle
3014,{天晶楯齿龙},3,5,2,"0.5,0,0,0.5",112,112,112,182,1.6,1.6,1.6,2.6,0,0,0,0,0,0,3014,Heavenly Crystal Placodon
3015,{岩溯重坦},3,5,4,"0.5,0,0.5,0",128,128,224,128,1.6,1.6,2.8,1.6,0,0,0,0,0,0,3015,Rockbound Heavy Tank
3016,{叶鞘豺狼},3,5,2,"1,0,0,0",224,128,128,128,2.8,1.6,1.6,1.6,0,0,0,0,0,0,3016,Leaf Sheath Jackal
3017,{暴风君主},3,5,2,"0.5,0,0,0.5",180,153,153,234,2,1.7,1.7,2.6,0,0,0,0,0,0,3017,Storm Lord
3018,{泰坦巨人},3,5,3,"0.5,0.5,0,0",198,252,135,135,2.2,2.8,1.5,1.5,0,0,0,0,0,0,3018,Titan Giant
3019,{寒霜君主},3,5,2,"0.8,0.2,0,0",252,180,153,135,2.8,2,1.7,1.5,0,0,0,0,0,0,3019,Frost Lord
3020,{火焰君主},3,5,2,"0.8,0.2,0,0",252,180,153,135,2.8,2,1.7,1.5,0,0,0,0,0,0,3020,Flame Lord
