gift_type,type,id,name,price,limit,content,refresh_type,value,showLv,ShowValue,name_en
13,1,1,{英雄成长助力包}-2,10,1,1205_2+1403_20+4_100+6_10,0,2,0,0,Hero Growth Support Packs-2
13,1,2,{英雄成长助力包}-4,60,1,1205_5+1403_50+4_200+6_60,0,4,0,0,Hero Growth Support Packs-4
13,1,3,{英雄成长助力包}-7,300,1,1205_15+1403_200+4_400+6_300,0,7,0,0,Hero Growth Support Packs-7
13,1,4,{英雄成长助力包}-10,680,1,1205_30+1403_500+4_800+6_680,0,10,0,0,Hero Growth Support Packs-10
13,1,5,{圣物成长助力包}-2,10,1,1210_2+1403_20+4_100+6_10,0,13,0,0,Relic Growth Support Packs-2
13,1,6,{圣物成长助力包}-4,60,1,1210_5+1403_50+4_200+6_60,0,15,0,0,Relic Growth Support Packs-4
13,1,7,{圣物成长助力包}-7,300,1,1210_15+1403_200+4_400+6_300,0,18,0,0,Relic Growth Support Packs-7
13,1,8,{圣物成长助力包}-10,680,1,1210_30+1403_500+4_800+6_680,0,21,0,0,Relic Growth Support Packs-10
13,1,9,{魔法使成长助力包}-2,60,1,1204_5+3_100+4_100+6_60,0,24,0,0,Magic Messenger Growth Support Packs-2
13,1,10,{魔法使成长助力包}-4,300,1,1204_10+3_200+4_200+6_300,0,26,0,0,Magic Messenger Growth Support Packs-4
13,1,11,{魔法使成长助力包}-7,680,1,1204_25+3_500+4_500+6_680,0,29,0,0,Magic Messenger Growth Support Packs-7
13,1,12,{魔法使成长助力包}-10,1280,1,1204_50+3_1000+4_1000+6_1280,0,32,0,0,Magic Messenger Growth Support Packs-10
13,1,13,{魔法使成长助力包}-12,2580,1,1204_100+3_2000+4_2000+6_2580,0,34,0,0,Magic Messenger Growth Support Packs-12
21,1,1,{青焰式神},1980,1,78901_1+4552_1+4553_1+4554_1+6_1980,0,30,0,0,Azure Shikigami
21,1,2,{星穹誓章},1980,1,78902_1+4555_1+4556_1+4557_1+6_1980,0,31,0,0,Stellar Covenant
21,1,3,{美丽童话},1980,1,78903_1+4558_1+4559_1+4560_1+6_1980,0,33,0,0,Fantasia
21,1,4,{青芜梦呓},1980,1,78904_1+4561_1+4562_1+4563_1+6_1980,0,34,0,0,Verdant Whisper
21,1,5,{雪境狐语},1980,1,78905_1+4567_1+4568_1+4569_1+6_1980,0,36,0,0,Snow Fox
21,1,6,{花蔓之灵},1980,1,78906_1+4570_1+4571_1+4572_1+6_1980,0,37,0,0,Vine Elf
21,1,7,{圣诞颂歌},1980,1,78907_1+4579_1+4580_1+4581_1+6_1980,0,41,0,0,Christmas Carol
21,1,8,{玫纱丝影},1980,1,78908_1+4582_1+4583_1+4584_1+6_1980,0,42,0,0,Rose Veil Shadow
31,1,1,{新年特惠}-1,1280,10,1211_70+1100_2+1080_3+6_1280,0,0,0,0,New Year Sale-1
31,1,2,{新年特惠}-2,3880,6,1300_1+1100_5+1080_8+6_3880,0,0,0,0,New Year Sale-2
31,1,3,{新年特惠}-3,3880,2,1280_1+1100_5+1080_8+6_3880,0,0,0,0,New Year Sale-3
31,1,4,{新年特惠}-4,6480,3,1330_2+1119_2+1080_12+6_6480,0,0,0,0,New Year Sale-4
31,2,1,{五一特惠}-1,300,5,1100_8+1080_1+6_300,0,0,0,0,Labor Day Specials-1
31,2,2,{五一特惠}-2,1280,5,1100_35+1080_5+6_1280,0,0,0,0,Labor Day Specials-2
31,2,3,{五一特惠}-3,3880,5,1211_200+1100_10+1101_15+6_3880,0,0,0,0,Labor Day Specials-3
31,2,4,{五一特惠}-4,6480,5,1330_2+1100_10+1101_25+6_6480,0,0,0,0,Labor Day Specials-4
