gateNum,NeedLv,FirstAward,Income,AiInfo
206,9,1205_1+12_215000+3_25+1105_50,11_20780+2100_5+21_1039+22_1039+23_1039+24_519,"70626,70627,70628,70629,70630,70626_45_1_2.23"
207,9,1205_1+12_216000+3_25+1105_50,11_20960+2100_5+21_1048+22_1048+23_1048+24_524,"70631,70632,70633,70634,70635,70631_46_1_2.24"
208,9,1205_1+12_217000+3_25+1105_50,11_21140+2100_5+21_1057+22_1057+23_1057+24_528,"70636,70637,70638,70639,70640,70636_46_1_2.24"
209,9,1205_1+12_218000+3_25+1105_50,11_21320+2100_5+21_1066+22_1066+23_1066+24_533,"70641,70642,70643,70644,70645,70641_46_1_2.25"
210,9,1205_1+12_219000+3_25+1105_50,11_21500+2100_5+21_1075+22_1075+23_1075+24_537,"70646,70647,70648,70649,70650,70646_46_1_2.25"
211,9,1205_1+12_220000+3_26+1105_52,11_21680+2100_5+21_1084+22_1084+23_1084+24_542,"70651,70652,70653,70654,70655,70651_46_1_2.26"
212,9,1205_1+12_221000+3_26+1105_52,11_21860+2100_5+21_1093+22_1093+23_1093+24_546,"70656,70657,70658,70659,70660,70656_46_1_2.27"
213,9,1205_1+12_222000+3_26+1105_52,11_22040+2100_5+21_1102+22_1102+23_1102+24_551,"70661,70662,70663,70664,70665,70661_47_1_2.27"
214,9,1205_1+12_223000+3_26+1105_52,11_22220+2100_5+21_1111+22_1111+23_1111+24_555,"70666,70667,70668,70669,70670,70666_47_1_2.28"
215,9,1205_1+12_224000+3_26+1105_52,11_22400+2100_5+21_1120+22_1120+23_1120+24_560,"70671,70672,70673,70674,70675,70671_47_1_2.28"
216,9,1205_1+12_225000+3_26+1105_52,11_22580+2100_5+21_1129+22_1129+23_1129+24_564,"70676,70677,70678,70679,70680,70676_47_1_2.29"
217,10,1205_1+12_226000+3_26+1105_52,11_22780+2100_6+21_1139+22_1139+23_1139+24_569,"70681,70682,70683,70684,70685,70681_47_1_2.3"
218,10,1205_1+12_227000+3_26+1105_52,11_22980+2100_6+21_1149+22_1149+23_1149+24_574,"70686,70687,70688,70689,70690,70686_47_1_2.3"
219,10,1205_1+12_228000+3_26+1105_52,11_23180+2100_6+21_1159+22_1159+23_1159+24_579,"70691,70692,70693,70694,70695,70691_48_1_2.31"
220,10,1205_1+12_229000+3_26+1105_52,11_23380+2100_6+21_1169+22_1169+23_1169+24_584,"70696,70697,70698,70699,70700,70696_48_1_2.31"
221,10,1205_1+12_230000+3_27+1105_54,11_23580+2100_6+21_1179+22_1179+23_1179+24_589,"70701,70702,70703,70704,70705,70701_48_1_2.32"
222,10,1205_1+12_231000+3_27+1105_54,11_23780+2100_6+21_1189+22_1189+23_1189+24_594,"70706,70707,70708,70709,70710,70706_48_1_2.33"
223,10,1205_1+12_232000+3_27+1105_54,11_23980+2100_6+21_1199+22_1199+23_1199+24_599,"70711,70712,70713,70714,70715,70711_48_1_2.33"
224,10,1205_1+12_233000+3_27+1105_54,11_24180+2100_6+21_1209+22_1209+23_1209+24_604,"70716,70717,70718,70719,70720,70716_49_1_2.34"
225,10,1205_1+12_234000+3_27+1105_54,11_24380+2100_6+21_1219+22_1219+23_1219+24_609,"70721,70722,70723,70724,70725,70721_49_1_2.34"
226,10,1205_1+12_235000+3_27+1105_54,11_24580+2100_6+21_1229+22_1229+23_1229+24_614,"70726,70727,70728,70729,70730,70726_49_1_2.35"
227,10,1205_1+12_236000+3_27+1105_54,11_24780+2100_6+21_1239+22_1239+23_1239+24_619,"70731,70732,70733,70734,70735,70731_49_1_2.36"
228,10,1205_1+12_237000+3_27+1105_54,11_24980+2100_6+21_1249+22_1249+23_1249+24_624,"70736,70737,70738,70739,70740,70736_49_1_2.36"
229,10,1205_1+12_238000+3_27+1105_54,11_25180+2100_6+21_1259+22_1259+23_1259+24_629,"70741,70742,70743,70744,70745,70741_49_1_2.37"
230,10,1205_1+12_239000+3_27+1105_54,11_25380+2100_6+21_1269+22_1269+23_1269+24_634,"70746,70747,70748,70749,70750,70746_50_1_2.37"
231,10,1205_1+12_240000+3_28+1105_56,11_25580+2100_6+21_1279+22_1279+23_1279+24_639,"70751,70752,70753,70754,70755,70751_50_1_2.38"
232,10,1205_1+12_241000+3_28+1105_56,11_25780+2100_6+21_1289+22_1289+23_1289+24_644,"70756,70757,70758,70759,70760,70756_50_1_2.39"
233,10,1205_1+12_242000+3_28+1105_56,11_25980+2100_6+21_1299+22_1299+23_1299+24_649,"70761,70762,70763,70764,70765,70761_50_1_2.39"
234,10,1205_1+12_243000+3_28+1105_56,11_26180+2100_6+21_1309+22_1309+23_1309+24_654,"70766,70767,70768,70769,70770,70766_50_1_2.4"
235,10,1205_1+12_244000+3_28+1105_56,11_26380+2100_6+21_1319+22_1319+23_1319+24_659,"70771,70772,70773,70774,70775,70771_50_1_2.4"
236,10,1205_1+12_245000+3_28+1105_56,11_26580+2100_6+21_1329+22_1329+23_1329+24_664,"70776,70777,70778,70779,70780,70776_51_1_2.41"
237,10,1205_1+12_246000+3_28+1105_56,11_26780+2100_6+21_1339+22_1339+23_1339+24_669,"70781,70782,70783,70784,70785,70781_51_1_2.42"
238,10,1205_1+12_247000+3_28+1105_56,11_26980+2100_6+21_1349+22_1349+23_1349+24_674,"70786,70787,70788,70789,70790,70786_51_1_2.42"
239,10,1205_1+12_248000+3_28+1105_56,11_27180+2100_6+21_1359+22_1359+23_1359+24_679,"70791,70792,70793,70794,70795,70791_51_1_2.43"
240,10,1205_1+12_249000+3_28+1105_56,11_27380+2100_6+21_1369+22_1369+23_1369+24_684,"70796,70797,70798,70799,70800,70796_51_1_2.43"
241,11,1205_1+12_250000+3_29+1105_58,11_27600+2100_6+21_1380+22_1380+23_1380+24_690,"70801,70802,70803,70804,70805,70801,70802_52_1_2.44"
242,11,1205_1+12_251000+3_29+1105_58,11_27820+2100_6+21_1391+22_1391+23_1391+24_695,"70806,70807,70808,70809,70810,70806,70807_52_1_2.45"
243,11,1205_1+12_252000+3_29+1105_58,11_28040+2100_6+21_1402+22_1402+23_1402+24_701,"70811,70812,70813,70814,70815,70811,70812_52_1_2.45"
244,11,1205_1+12_253000+3_29+1105_58,11_28260+2100_6+21_1413+22_1413+23_1413+24_706,"70816,70817,70818,70819,70820,70816,70817_52_1_2.46"
245,11,1205_1+12_254000+3_29+1105_58,11_28480+2100_6+21_1424+22_1424+23_1424+24_712,"70821,70822,70823,70824,70825,70821,70822_52_1_2.46"
246,11,1205_1+12_255000+3_29+1105_58,11_28700+2100_6+21_1435+22_1435+23_1435+24_717,"70826,70827,70828,70829,70830,70826,70827_52_1_2.47"
247,11,1205_1+12_256000+3_29+1105_58,11_28920+2100_6+21_1446+22_1446+23_1446+24_723,"70831,70832,70833,70834,70835,70831,70832_53_1_2.48"
248,11,1205_1+12_257000+3_29+1105_58,11_29140+2100_6+21_1457+22_1457+23_1457+24_728,"70836,70837,70838,70839,70840,70836,70837_53_1_2.48"
249,11,1205_1+12_258000+3_29+1105_58,11_29360+2100_6+21_1468+22_1468+23_1468+24_734,"70841,70842,70843,70844,70845,70841,70842_53_1_2.49"
250,11,1205_1+12_259000+3_29+1105_58,11_29580+2100_6+21_1479+22_1479+23_1479+24_739,"70846,70847,70848,70849,70850,70846,70847_53_1_2.49"
251,11,1205_1+12_260000+3_30+1105_60,11_29800+2100_6+21_1490+22_1490+23_1490+24_745,"70851,70852,70853,70854,70855,70851,70852_53_1_2.5"
252,11,1205_1+12_261000+3_30+1105_60,11_30020+2100_6+21_1501+22_1501+23_1501+24_750,"70856,70857,70858,70859,70860,70856,70857_53_1_2.51"
253,11,1205_1+12_262000+3_30+1105_60,11_30240+2100_6+21_1512+22_1512+23_1512+24_756,"70861,70862,70863,70864,70865,70861,70862_54_1_2.51"
254,11,1205_1+12_263000+3_30+1105_60,11_30460+2100_6+21_1523+22_1523+23_1523+24_761,"70866,70867,70868,70869,70870,70866,70867_54_1_2.52"
255,11,1205_1+12_264000+3_30+1105_60,11_30680+2100_6+21_1534+22_1534+23_1534+24_767,"70871,70872,70873,70874,70875,70871,70872_54_1_2.52"
256,11,1205_1+12_265000+3_30+1105_60,11_30900+2100_6+21_1545+22_1545+23_1545+24_772,"70876,70877,70878,70879,70880,70876,70877_54_1_2.53"
257,11,1205_1+12_266000+3_30+1105_60,11_31120+2100_6+21_1556+22_1556+23_1556+24_778,"70881,70882,70883,70884,70885,70881,70882_54_1_2.54"
258,11,1205_1+12_267000+3_30+1105_60,11_31340+2100_6+21_1567+22_1567+23_1567+24_783,"70886,70887,70888,70889,70890,70886,70887_54_1_2.54"
259,11,1205_1+12_268000+3_30+1105_60,11_31560+2100_6+21_1578+22_1578+23_1578+24_789,"70891,70892,70893,70894,70895,70891,70892_55_1_2.55"
260,11,1205_1+12_269000+3_30+1105_60,11_31780+2100_6+21_1589+22_1589+23_1589+24_794,"70896,70897,70898,70899,70900,70896,70897_55_1_2.55"
261,11,1205_1+12_270000+3_31+1105_62,11_32000+2100_6+21_1600+22_1600+23_1600+24_800,"70901,70902,70903,70904,70905,70901,70902_55_1_2.56"
262,11,1205_1+12_271000+3_31+1105_62,11_32220+2100_6+21_1611+22_1611+23_1611+24_805,"70906,70907,70908,70909,70910,70906,70907_55_1_2.57"
263,11,1205_1+12_272000+3_31+1105_62,11_32440+2100_6+21_1622+22_1622+23_1622+24_811,"70911,70912,70913,70914,70915,70911,70912_55_1_2.57"
264,11,1205_1+12_273000+3_31+1105_62,11_32660+2100_6+21_1633+22_1633+23_1633+24_816,"70916,70917,70918,70919,70920,70916,70917_56_1_2.58"
265,12,1205_1+12_274000+3_31+1105_62,11_32900+2100_7+21_1645+22_1645+23_1645+24_822,"70921,70922,70923,70924,70925,70921,70922_56_1_2.58"
266,12,1205_1+12_275000+3_31+1105_62,11_33140+2100_7+21_1657+22_1657+23_1657+24_828,"70926,70927,70928,70929,70930,70926,70927_56_1_2.59"
267,12,1205_1+12_276000+3_31+1105_62,11_33380+2100_7+21_1669+22_1669+23_1669+24_834,"70931,70932,70933,70934,70935,70931,70932_56_1_2.6"
268,12,1205_1+12_277000+3_31+1105_62,11_33620+2100_7+21_1681+22_1681+23_1681+24_840,"70936,70937,70938,70939,70940,70936,70937_56_1_2.6"
269,12,1205_1+12_278000+3_31+1105_62,11_33860+2100_7+21_1693+22_1693+23_1693+24_846,"70941,70942,70943,70944,70945,70941,70942_56_1_2.61"
270,12,1205_1+12_279000+3_31+1105_62,11_34100+2100_7+21_1705+22_1705+23_1705+24_852,"70946,70947,70948,70949,70950,70946,70947_57_1_2.61"
271,12,1205_1+12_280000+3_32+1105_64,11_34340+2100_7+21_1717+22_1717+23_1717+24_858,"70951,70952,70953,70954,70955,70951,70952_57_1_2.62"
272,12,1205_1+12_281000+3_32+1105_64,11_34580+2100_7+21_1729+22_1729+23_1729+24_864,"70956,70957,70958,70959,70960,70956,70957_57_1_2.63"
273,12,1205_1+12_282000+3_32+1105_64,11_34820+2100_7+21_1741+22_1741+23_1741+24_870,"70961,70962,70963,70964,70965,70961,70962_57_1_2.63"
274,12,1205_1+12_283000+3_32+1105_64,11_35060+2100_7+21_1753+22_1753+23_1753+24_876,"70966,70967,70968,70969,70970,70966,70967_57_1_2.64"
275,12,1205_1+12_284000+3_32+1105_64,11_35300+2100_7+21_1765+22_1765+23_1765+24_882,"70971,70972,70973,70974,70975,70971,70972_57_1_2.64"
276,12,1205_1+12_285000+3_32+1105_64,11_35540+2100_7+21_1777+22_1777+23_1777+24_888,"70976,70977,70978,70979,70980,70976,70977_58_1_2.65"
277,12,1205_1+12_286000+3_32+1105_64,11_35780+2100_7+21_1789+22_1789+23_1789+24_894,"70981,70982,70983,70984,70985,70981,70982_58_1_2.66"
278,12,1205_1+12_287000+3_32+1105_64,11_36020+2100_7+21_1801+22_1801+23_1801+24_900,"70986,70987,70988,70989,70990,70986,70987_58_1_2.66"
279,12,1205_1+12_288000+3_32+1105_64,11_36260+2100_7+21_1813+22_1813+23_1813+24_906,"70991,70992,70993,70994,70995,70991,70992_58_1_2.67"
280,12,1205_1+12_289000+3_32+1105_64,11_36500+2100_7+21_1825+22_1825+23_1825+24_912,"70996,70997,70998,70999,71000,70996,70997_58_1_2.67"
281,12,1205_1+12_290000+3_33+1105_66,11_36740+2100_7+21_1837+22_1837+23_1837+24_918,"71001,71002,71003,71004,71005,71001,71002,71003_59_1_2.68"
282,12,1205_1+12_291000+3_33+1105_66,11_36980+2100_7+21_1849+22_1849+23_1849+24_924,"71006,71007,71008,71009,71010,71006,71007,71008_59_1_2.69"
283,12,1205_1+12_292000+3_33+1105_66,11_37220+2100_7+21_1861+22_1861+23_1861+24_930,"71011,71012,71013,71014,71015,71011,71012,71013_59_1_2.69"
284,12,1205_1+12_293000+3_33+1105_66,11_37460+2100_7+21_1873+22_1873+23_1873+24_936,"71016,71017,71018,71019,71020,71016,71017,71018_59_1_2.7"
285,12,1205_1+12_294000+3_33+1105_66,11_37700+2100_7+21_1885+22_1885+23_1885+24_942,"71021,71022,71023,71024,71025,71021,71022,71023_59_1_2.7"
286,12,1205_1+12_295000+3_33+1105_66,11_37940+2100_7+21_1897+22_1897+23_1897+24_948,"71026,71027,71028,71029,71030,71026,71027,71028_59_1_2.71"
287,12,1205_1+12_296000+3_33+1105_66,11_38180+2100_7+21_1909+22_1909+23_1909+24_954,"71031,71032,71033,71034,71035,71031,71032,71033_60_1_2.72"
288,12,1205_1+12_297000+3_33+1105_66,11_38420+2100_7+21_1921+22_1921+23_1921+24_960,"71036,71037,71038,71039,71040,71036,71037,71038_60_1_2.72"
289,13,1205_1+12_298000+3_33+1105_66,11_38680+2100_7+21_1934+22_1934+23_1934+24_967,"71041,71042,71043,71044,71045,71041,71042,71043_60_1_2.73"
290,13,1205_1+12_299000+3_33+1105_66,11_38940+2100_7+21_1947+22_1947+23_1947+24_973,"71046,71047,71048,71049,71050,71046,71047,71048_60_1_2.73"
291,13,1205_1+12_300000+3_34+1105_68,11_39200+2100_7+21_1960+22_1960+23_1960+24_980,"71051,71052,71053,71054,71055,71051,71052,71053_60_1_2.74"
292,13,1205_1+12_301000+3_34+1105_68,11_39460+2100_7+21_1973+22_1973+23_1973+24_986,"71056,71057,71058,71059,71060,71056,71057,71058_60_1_2.75"
293,13,1205_1+12_302000+3_34+1105_68,11_39720+2100_7+21_1986+22_1986+23_1986+24_993,"71061,71062,71063,71064,71065,71061,71062,71063_61_1_2.75"
294,13,1205_1+12_303000+3_34+1105_68,11_39980+2100_7+21_1999+22_1999+23_1999+24_999,"71066,71067,71068,71069,71070,71066,71067,71068_61_1_2.76"
295,13,1205_1+12_304000+3_34+1105_68,11_40240+2100_7+21_2012+22_2012+23_2012+24_1006,"71071,71072,71073,71074,71075,71071,71072,71073_61_1_2.76"
296,13,1205_1+12_305000+3_34+1105_68,11_40500+2100_7+21_2025+22_2025+23_2025+24_1012,"71076,71077,71078,71079,71080,71076,71077,71078_61_1_2.77"
297,13,1205_1+12_306000+3_34+1105_68,11_40760+2100_7+21_2038+22_2038+23_2038+24_1019,"71081,71082,71083,71084,71085,71081,71082,71083_61_1_2.78"
298,13,1205_1+12_307000+3_34+1105_68,11_41020+2100_7+21_2051+22_2051+23_2051+24_1025,"71086,71087,71088,71089,71090,71086,71087,71088_61_1_2.78"
299,13,1205_1+12_308000+3_34+1105_68,11_41280+2100_7+21_2064+22_2064+23_2064+24_1032,"71091,71092,71093,71094,71095,71091,71092,71093_62_1_2.79"
300,13,1205_1+12_309000+3_34+1105_68,11_41540+2100_7+21_2077+22_2077+23_2077+24_1038,"71096,71097,71098,71099,71100,71096,71097,71098_62_1_2.79"
301,13,1205_1+12_310000+3_35+1105_70,11_41800+2100_7+21_2090+22_2090+23_2090+24_1045,"71101,71102,71103,71104,71105,71101,71102,71103_62_1_2.8"
302,13,1205_1+12_311000+3_35+1105_70,11_42060+2100_7+21_2103+22_2103+23_2103+24_1051,"71106,71107,71108,71109,71110,71106,71107,71108_62_1_2.81"
303,13,1205_1+12_312000+3_35+1105_70,11_42320+2100_7+21_2116+22_2116+23_2116+24_1058,"71111,71112,71113,71114,71115,71111,71112,71113_62_1_2.81"
304,13,1205_1+12_313000+3_35+1105_70,11_42580+2100_7+21_2129+22_2129+23_2129+24_1064,"71116,71117,71118,71119,71120,71116,71117,71118_63_1_2.82"
305,13,1205_1+12_314000+3_35+1105_70,11_42840+2100_7+21_2142+22_2142+23_2142+24_1071,"71121,71122,71123,71124,71125,71121,71122,71123_63_1_2.82"
306,13,1205_1+12_315000+3_35+1105_70,11_43100+2100_7+21_2155+22_2155+23_2155+24_1077,"71126,71127,71128,71129,71130,71126,71127,71128_63_1_2.83"
307,13,1205_1+12_316000+3_35+1105_70,11_43360+2100_7+21_2168+22_2168+23_2168+24_1084,"71131,71132,71133,71134,71135,71131,71132,71133_63_1_2.84"
308,13,1205_1+12_317000+3_35+1105_70,11_43620+2100_7+21_2181+22_2181+23_2181+24_1090,"71136,71137,71138,71139,71140,71136,71137,71138_63_1_2.84"
309,13,1205_1+12_318000+3_35+1105_70,11_43880+2100_7+21_2194+22_2194+23_2194+24_1097,"71141,71142,71143,71144,71145,71141,71142,71143_63_1_2.85"
310,13,1205_1+12_319000+3_35+1105_70,11_44140+2100_7+21_2207+22_2207+23_2207+24_1103,"71146,71147,71148,71149,71150,71146,71147,71148_64_1_2.85"
311,13,1205_1+12_320000+3_36+1105_72,11_44400+2100_7+21_2220+22_2220+23_2220+24_1110,"71151,71152,71153,71154,71155,71151,71152,71153_64_1_2.86"
312,13,1205_1+12_321000+3_36+1105_72,11_44660+2100_7+21_2233+22_2233+23_2233+24_1116,"71156,71157,71158,71159,71160,71156,71157,71158_64_1_2.87"
313,14,1205_1+12_322000+3_36+1105_72,11_44940+2100_8+21_2247+22_2247+23_2247+24_1123,"71161,71162,71163,71164,71165,71161,71162,71163_64_1_2.87"
314,14,1205_1+12_323000+3_36+1105_72,11_45220+2100_8+21_2261+22_2261+23_2261+24_1130,"71166,71167,71168,71169,71170,71166,71167,71168_64_1_2.88"
315,14,1205_1+12_324000+3_36+1105_72,11_45500+2100_8+21_2275+22_2275+23_2275+24_1137,"71171,71172,71173,71174,71175,71171,71172,71173_64_1_2.88"
316,14,1205_1+12_325000+3_36+1105_72,11_45780+2100_8+21_2289+22_2289+23_2289+24_1144,"71176,71177,71178,71179,71180,71176,71177,71178_65_1_2.89"
317,14,1205_1+12_326000+3_36+1105_72,11_46060+2100_8+21_2303+22_2303+23_2303+24_1151,"71181,71182,71183,71184,71185,71181,71182,71183_65_1_2.9"
318,14,1205_1+12_327000+3_36+1105_72,11_46340+2100_8+21_2317+22_2317+23_2317+24_1158,"71186,71187,71188,71189,71190,71186,71187,71188_65_1_2.9"
319,14,1205_1+12_328000+3_36+1105_72,11_46620+2100_8+21_2331+22_2331+23_2331+24_1165,"71191,71192,71193,71194,71195,71191,71192,71193_65_1_2.91"
320,14,1205_1+12_329000+3_36+1105_72,11_46900+2100_8+21_2345+22_2345+23_2345+24_1172,"71196,71197,71198,71199,71200,71196,71197,71198_65_1_2.91"
321,14,1205_1+12_330000+3_37+1105_74,11_47180+2100_8+21_2359+22_2359+23_2359+24_1179,"71201,71202,71203,71204,71205,71201,71202,71203,71204_66_1_2.92"
322,14,1205_1+12_331000+3_37+1105_74,11_47460+2100_8+21_2373+22_2373+23_2373+24_1186,"71206,71207,71208,71209,71210,71206,71207,71208,71209_66_1_2.93"
323,14,1205_1+12_332000+3_37+1105_74,11_47740+2100_8+21_2387+22_2387+23_2387+24_1193,"71211,71212,71213,71214,71215,71211,71212,71213,71214_66_1_2.93"
324,14,1205_1+12_333000+3_37+1105_74,11_48020+2100_8+21_2401+22_2401+23_2401+24_1200,"71216,71217,71218,71219,71220,71216,71217,71218,71219_66_1_2.94"
325,14,1205_1+12_334000+3_37+1105_74,11_48300+2100_8+21_2415+22_2415+23_2415+24_1207,"71221,71222,71223,71224,71225,71221,71222,71223,71224_66_1_2.94"
326,14,1205_1+12_335000+3_37+1105_74,11_48580+2100_8+21_2429+22_2429+23_2429+24_1214,"71226,71227,71228,71229,71230,71226,71227,71228,71229_66_1_2.95"
327,14,1205_1+12_336000+3_37+1105_74,11_48860+2100_8+21_2443+22_2443+23_2443+24_1221,"71231,71232,71233,71234,71235,71231,71232,71233,71234_67_1_2.96"
328,14,1205_1+12_337000+3_37+1105_74,11_49140+2100_8+21_2457+22_2457+23_2457+24_1228,"71236,71237,71238,71239,71240,71236,71237,71238,71239_67_1_2.96"
329,14,1205_1+12_338000+3_37+1105_74,11_49420+2100_8+21_2471+22_2471+23_2471+24_1235,"71241,71242,71243,71244,71245,71241,71242,71243,71244_67_1_2.97"
330,14,1205_1+12_339000+3_37+1105_74,11_49700+2100_8+21_2485+22_2485+23_2485+24_1242,"71246,71247,71248,71249,71250,71246,71247,71248,71249_67_1_2.97"
331,14,1205_1+12_340000+3_38+1105_76,11_49980+2100_8+21_2499+22_2499+23_2499+24_1249,"71251,71252,71253,71254,71255,71251,71252,71253,71254_67_1_2.98"
332,14,1205_1+12_341000+3_38+1105_76,11_50260+2100_8+21_2513+22_2513+23_2513+24_1256,"71256,71257,71258,71259,71260,71256,71257,71258,71259_67_1_2.99"
333,14,1205_1+12_342000+3_38+1105_76,11_50540+2100_8+21_2527+22_2527+23_2527+24_1263,"71261,71262,71263,71264,71265,71261,71262,71263,71264_68_1_2.99"
334,14,1205_1+12_343000+3_38+1105_76,11_50820+2100_8+21_2541+22_2541+23_2541+24_1270,"71266,71267,71268,71269,71270,71266,71267,71268,71269_68_1_3"
335,14,1205_1+12_344000+3_38+1105_76,11_51100+2100_8+21_2555+22_2555+23_2555+24_1277,"71271,71272,71273,71274,71275,71271,71272,71273,71274_68_1_3"
336,14,1205_1+12_345000+3_38+1105_76,11_51380+2100_8+21_2569+22_2569+23_2569+24_1284,"71276,71277,71278,71279,71280,71276,71277,71278,71279_68_1_3.01"
337,15,1205_1+12_346000+3_38+1105_76,11_51680+2100_8+21_2584+22_2584+23_2584+24_1292,"71281,71282,71283,71284,71285,71281,71282,71283,71284_68_1_3.02"
338,15,1205_1+12_347000+3_38+1105_76,11_51980+2100_8+21_2599+22_2599+23_2599+24_1299,"71286,71287,71288,71289,71290,71286,71287,71288,71289_68_1_3.02"
339,15,1205_1+12_348000+3_38+1105_76,11_52280+2100_8+21_2614+22_2614+23_2614+24_1307,"71291,71292,71293,71294,71295,71291,71292,71293,71294_69_1_3.03"
340,15,1205_1+12_349000+3_38+1105_76,11_52580+2100_8+21_2629+22_2629+23_2629+24_1314,"71296,71297,71298,71299,71300,71296,71297,71298,71299_69_1_3.03"
341,15,1205_1+12_350000+3_39+1105_78,11_52880+2100_8+21_2644+22_2644+23_2644+24_1322,"71301,71302,71303,71304,71305,71301,71302,71303,71304_69_1_3.04"
342,15,1205_1+12_351000+3_39+1105_78,11_53180+2100_8+21_2659+22_2659+23_2659+24_1329,"71306,71307,71308,71309,71310,71306,71307,71308,71309_69_1_3.05"
343,15,1205_1+12_352000+3_39+1105_78,11_53480+2100_8+21_2674+22_2674+23_2674+24_1337,"71311,71312,71313,71314,71315,71311,71312,71313,71314_69_1_3.05"
344,15,1205_1+12_353000+3_39+1105_78,11_53780+2100_8+21_2689+22_2689+23_2689+24_1344,"71316,71317,71318,71319,71320,71316,71317,71318,71319_70_1_3.06"
345,15,1205_1+12_354000+3_39+1105_78,11_54080+2100_8+21_2704+22_2704+23_2704+24_1352,"71321,71322,71323,71324,71325,71321,71322,71323,71324_70_1_3.06"
346,15,1205_1+12_355000+3_39+1105_78,11_54380+2100_8+21_2719+22_2719+23_2719+24_1359,"71326,71327,71328,71329,71330,71326,71327,71328,71329_70_1_3.07"
347,15,1205_1+12_356000+3_39+1105_78,11_54680+2100_8+21_2734+22_2734+23_2734+24_1367,"71331,71332,71333,71334,71335,71331,71332,71333,71334_70_1_3.08"
348,15,1205_1+12_357000+3_39+1105_78,11_54980+2100_8+21_2749+22_2749+23_2749+24_1374,"71336,71337,71338,71339,71340,71336,71337,71338,71339_70_1_3.08"
349,15,1205_1+12_358000+3_39+1105_78,11_55280+2100_8+21_2764+22_2764+23_2764+24_1382,"71341,71342,71343,71344,71345,71341,71342,71343,71344_70_1_3.09"
350,15,1205_1+12_359000+3_39+1105_78,11_55580+2100_8+21_2779+22_2779+23_2779+24_1389,"71346,71347,71348,71349,71350,71346,71347,71348,71349_71_1_3.09"
351,15,1205_1+12_360000+3_40+1105_80,11_55880+2100_8+21_2794+22_2794+23_2794+24_1397,"71351,71352,71353,71354,71355,71351,71352,71353,71354_71_1_3.1"
352,15,1205_1+12_361000+3_40+1105_80,11_56180+2100_8+21_2809+22_2809+23_2809+24_1404,"71356,71357,71358,71359,71360,71356,71357,71358,71359_71_1_3.11"
353,15,1205_1+12_362000+3_40+1105_80,11_56480+2100_8+21_2824+22_2824+23_2824+24_1412,"71361,71362,71363,71364,71365,71361,71362,71363,71364_71_1_3.11"
354,15,1205_1+12_363000+3_40+1105_80,11_56780+2100_8+21_2839+22_2839+23_2839+24_1419,"71366,71367,71368,71369,71370,71366,71367,71368,71369_71_1_3.12"
355,15,1205_1+12_364000+3_40+1105_80,11_57080+2100_8+21_2854+22_2854+23_2854+24_1427,"71371,71372,71373,71374,71375,71371,71372,71373,71374_71_1_3.12"
356,15,1205_1+12_365000+3_40+1105_80,11_57380+2100_8+21_2869+22_2869+23_2869+24_1434,"71376,71377,71378,71379,71380,71376,71377,71378,71379_72_1_3.13"
357,15,1205_1+12_366000+3_40+1105_80,11_57680+2100_8+21_2884+22_2884+23_2884+24_1442,"71381,71382,71383,71384,71385,71381,71382,71383,71384_72_1_3.14"
358,15,1205_1+12_367000+3_40+1105_80,11_57980+2100_8+21_2899+22_2899+23_2899+24_1449,"71386,71387,71388,71389,71390,71386,71387,71388,71389_72_1_3.14"
359,15,1205_1+12_368000+3_40+1105_80,11_58280+2100_8+21_2914+22_2914+23_2914+24_1457,"71391,71392,71393,71394,71395,71391,71392,71393,71394_72_1_3.15"
360,15,1205_1+12_369000+3_40+1105_80,11_58580+2100_8+21_2929+22_2929+23_2929+24_1464,"71396,71397,71398,71399,71400,71396,71397,71398,71399_72_1_3.15"
361,16,1205_1+12_370000+3_41+1105_82,11_58900+2100_9+21_2945+22_2945+23_2945+24_1472,"71401,71402,71403,71404,71405,71401,71402,71403,71404,71405_73_1_3.16"
362,16,1205_1+12_371000+3_41+1105_82,11_59220+2100_9+21_2961+22_2961+23_2961+24_1480,"71406,71407,71408,71409,71410,71406,71407,71408,71409,71410_73_1_3.17"
363,16,1205_1+12_372000+3_41+1105_82,11_59540+2100_9+21_2977+22_2977+23_2977+24_1488,"71411,71412,71413,71414,71415,71411,71412,71413,71414,71415_73_1_3.17"
364,16,1205_1+12_373000+3_41+1105_82,11_59860+2100_9+21_2993+22_2993+23_2993+24_1496,"71416,71417,71418,71419,71420,71416,71417,71418,71419,71420_73_1_3.18"
365,16,1205_1+12_374000+3_41+1105_82,11_60180+2100_9+21_3009+22_3009+23_3009+24_1504,"71421,71422,71423,71424,71425,71421,71422,71423,71424,71425_73_1_3.18"
366,16,1205_1+12_375000+3_41+1105_82,11_60500+2100_9+21_3025+22_3025+23_3025+24_1512,"71426,71427,71428,71429,71430,71426,71427,71428,71429,71430_73_1_3.19"
367,16,1205_1+12_376000+3_41+1105_82,11_60820+2100_9+21_3041+22_3041+23_3041+24_1520,"71431,71432,71433,71434,71435,71431,71432,71433,71434,71435_74_1_3.2"
368,16,1205_1+12_377000+3_41+1105_82,11_61140+2100_9+21_3057+22_3057+23_3057+24_1528,"71436,71437,71438,71439,71440,71436,71437,71438,71439,71440_74_1_3.2"
