name,id,lv,power,need_build,food,wood,stone,iron,time,des,effect,name_en,des_en
{居民楼}({等级} 23),6,23,83154,1_23,956083,956083,956083,478041,1147300,{金币} {产量}_+550/{小时}${居民} {容量}_23,200_550+350_23,Residence(Lv 23),Gold Coin Output_+550/H$Residents Capacity_23
{居民楼}({等级} 24),6,24,107009,1_24,1192750,1192750,1192750,596375,1431300,{金币} {产量}_+580/{小时}${居民} {容量}_24,200_580+350_24,Residence(Lv 24),Gold Coin Output_+580/H$Residents Capacity_24
{居民楼}({等级} 25),6,25,136564,1_25,1477750,1477750,1477750,738875,1773300,{金币} {产量}_+620/{小时}${居民} {容量}_25,200_620+350_25,Residence(Lv 25),Gold Coin Output_+620/H$Residents Capacity_25
{运输站}({等级} 1),7,1,40,1_6,25,25,25,0,10,{大世界资源} {最大采集时间}_144{小时}${大世界资源} {最大占领数}_8,156_144+157_8,Transport Station(Lv 1),Great World Resources Max Collection Time_144H$Great World Resources Max Occupation Number_8
{运输站}({等级} 2),7,2,80,19_2,50,50,50,0,30,{大世界资源} {最大采集时间}_152{小时}${大世界资源} {最大占领数}_8,156_152+157_8,Transport Station(Lv 2),Great World Resources Max Collection Time_152H$Great World Resources Max Occupation Number_8
{运输站}({等级} 3),7,3,120,19_3,100,100,100,0,120,{大世界资源} {最大采集时间}_160{小时}${大世界资源} {最大占领数}_9,156_160+157_9,Transport Station(Lv 3),Great World Resources Max Collection Time_160H$Great World Resources Max Occupation Number_9
{运输站}({等级} 4),7,4,160,19_4,483,483,483,0,300,{大世界资源} {最大采集时间}_168{小时}${大世界资源} {最大占领数}_9,156_168+157_9,Transport Station(Lv 4),Great World Resources Max Collection Time_168H$Great World Resources Max Occupation Number_9
{运输站}({等级} 5),7,5,200,19_5,1333,1333,1333,0,1600,{大世界资源} {最大采集时间}_176{小时}${大世界资源} {最大占领数}_10,156_176+157_10,Transport Station(Lv 5),Great World Resources Max Collection Time_176H$Great World Resources Max Occupation Number_10
{运输站}({等级} 6),7,6,240,19_6,3000,3000,3000,0,3600,{大世界资源} {最大采集时间}_184{小时}${大世界资源} {最大占领数}_10,156_184+157_10,Transport Station(Lv 6),Great World Resources Max Collection Time_184H$Great World Resources Max Occupation Number_10
{运输站}({等级} 7),7,7,300,19_7,6000,6000,6000,0,7200,{大世界资源} {最大采集时间}_192{小时}${大世界资源} {最大占领数}_11,156_192+157_11,Transport Station(Lv 7),Great World Resources Max Collection Time_192H$Great World Resources Max Occupation Number_11
{运输站}({等级} 8),7,8,452,19_8,11666,11666,11666,0,14000,{大世界资源} {最大采集时间}_200{小时}${大世界资源} {最大占领数}_11,156_200+157_11,Transport Station(Lv 8),Great World Resources Max Collection Time_200H$Great World Resources Max Occupation Number_11
{运输站}({等级} 9),7,9,888,19_9,21833,21833,21833,10916,26200,{大世界资源} {最大采集时间}_208{小时}${大世界资源} {最大占领数}_12,156_208+157_12,Transport Station(Lv 9),Great World Resources Max Collection Time_208H$Great World Resources Max Occupation Number_12
{运输站}({等级} 10),7,10,1615,19_10,36333,36333,36333,18166,43600,{大世界资源} {最大采集时间}_216{小时}${大世界资源} {最大占领数}_12,156_216+157_12,Transport Station(Lv 10),Great World Resources Max Collection Time_216H$Great World Resources Max Occupation Number_12
{运输站}({等级} 11),7,11,2773,19_11,57916,57916,57916,28958,69500,{大世界资源} {最大采集时间}_224{小时}${大世界资源} {最大占领数}_13,156_224+157_13,Transport Station(Lv 11),Great World Resources Max Collection Time_224H$Great World Resources Max Occupation Number_13
{运输站}({等级} 12),7,12,4555,19_12,89083,89083,89083,44541,106900,{大世界资源} {最大采集时间}_232{小时}${大世界资源} {最大占领数}_13,156_232+157_13,Transport Station(Lv 12),Great World Resources Max Collection Time_232H$Great World Resources Max Occupation Number_13
{运输站}({等级} 13),7,13,7208,19_13,132666,132666,132666,66333,159200,{大世界资源} {最大采集时间}_240{小时}${大世界资源} {最大占领数}_14,156_240+157_14,Transport Station(Lv 13),Great World Resources Max Collection Time_240H$Great World Resources Max Occupation Number_14
{运输站}({等级} 14),7,14,11060,19_14,192583,192583,192583,96291,231100,{大世界资源} {最大采集时间}_248{小时}${大世界资源} {最大占领数}_14,156_248+157_14,Transport Station(Lv 14),Great World Resources Max Collection Time_248H$Great World Resources Max Occupation Number_14
{运输站}({等级} 15),7,15,16527,19_15,273333,273333,273333,136666,328000,{大世界资源} {最大采集时间}_256{小时}${大世界资源} {最大占领数}_15,156_256+157_15,Transport Station(Lv 15),Great World Resources Max Collection Time_256H$Great World Resources Max Occupation Number_15
{运输站}({等级} 16),7,16,24133,19_16,380333,380333,380333,190166,456400,{大世界资源} {最大采集时间}_264{小时}${大世界资源} {最大占领数}_15,156_264+157_15,Transport Station(Lv 16),Great World Resources Max Collection Time_264H$Great World Resources Max Occupation Number_15
{运输站}({等级} 17),7,17,34538,19_17,520250,520250,520250,260125,624300,{大世界资源} {最大采集时间}_272{小时}${大世界资源} {最大占领数}_16,156_272+157_16,Transport Station(Lv 17),Great World Resources Max Collection Time_272H$Great World Resources Max Occupation Number_16
{运输站}({等级} 18),7,18,48557,19_18,700916,700916,700916,350458,841100,{大世界资源} {最大采集时间}_280{小时}${大世界资源} {最大占领数}_16,156_280+157_16,Transport Station(Lv 18),Great World Resources Max Collection Time_280H$Great World Resources Max Occupation Number_16
{运输站}({等级} 19),7,19,67192,19_19,931750,931750,931750,465875,1118100,{大世界资源} {最大采集时间}_288{小时}${大世界资源} {最大占领数}_17,156_288+157_17,Transport Station(Lv 19),Great World Resources Max Collection Time_288H$Great World Resources Max Occupation Number_17
{运输站}({等级} 20),7,20,91667,19_20,1223750,1223750,1223750,611875,1468500,{大世界资源} {最大采集时间}_296{小时}${大世界资源} {最大占领数}_17,156_296+157_17,Transport Station(Lv 20),Great World Resources Max Collection Time_296H$Great World Resources Max Occupation Number_17
{运输站}({等级} 21),7,21,123463,19_21,1589833,1589833,1589833,794916,1907800,{大世界资源} {最大采集时间}_304{小时}${大世界资源} {最大占领数}_18,156_304+157_18,Transport Station(Lv 21),Great World Resources Max Collection Time_304H$Great World Resources Max Occupation Number_18
{运输站}({等级} 22),7,22,164368,19_22,2045250,2045250,2045250,1022625,2454300,{大世界资源} {最大采集时间}_312{小时}${大世界资源} {最大占领数}_18,156_312+157_18,Transport Station(Lv 22),Great World Resources Max Collection Time_312H$Great World Resources Max Occupation Number_18
{运输站}({等级} 23),7,23,216522,19_23,2607666,2607666,2607666,1303833,3129200,{大世界资源} {最大采集时间}_320{小时}${大世界资源} {最大占领数}_19,156_320+157_19,Transport Station(Lv 23),Great World Resources Max Collection Time_320H$Great World Resources Max Occupation Number_19
{运输站}({等级} 24),7,24,282478,19_24,3297833,3297833,3297833,1648916,3957400,{大世界资源} {最大采集时间}_328{小时}${大世界资源} {最大占领数}_19,156_328+157_19,Transport Station(Lv 24),Great World Resources Max Collection Time_328H$Great World Resources Max Occupation Number_19
{运输站}({等级} 25),7,25,365268,19_25,4139500,4139500,4139500,2069750,4967400,{大世界资源} {最大采集时间}_336{小时}${大世界资源} {最大占领数}_20,156_336+157_20,Transport Station(Lv 25),Great World Resources Max Collection Time_336H$Great World Resources Max Occupation Number_20
{仓库}({等级} 1),8,1,40,0_0,25,25,25,0,10,"{资源} {最大存储量}({铁锭} {减半})_600,000",64_600000,Storehouse(Lv 1),"Resources Max Storage Capacity(Iron Halving)_600,000"
{仓库}({等级} 2),8,2,80,6_2,50,50,50,0,30,"{资源} {最大存储量}({铁锭} {减半})_800,000",64_800000,Storehouse(Lv 2),"Resources Max Storage Capacity(Iron Halving)_800,000"
{仓库}({等级} 3),8,3,120,6_3,100,100,100,0,120,"{资源} {最大存储量}({铁锭} {减半})_1,200,000",64_1200000,Storehouse(Lv 3),"Resources Max Storage Capacity(Iron Halving)_1,200,000"
{仓库}({等级} 4),8,4,160,6_4,483,483,483,0,300,"{资源} {最大存储量}({铁锭} {减半})_1,600,000",64_1600000,Storehouse(Lv 4),"Resources Max Storage Capacity(Iron Halving)_1,600,000"
{仓库}({等级} 5),8,5,200,6_5,1333,1333,1333,0,1600,"{资源} {最大存储量}({铁锭} {减半})_2,000,000",64_2000000,Storehouse(Lv 5),"Resources Max Storage Capacity(Iron Halving)_2,000,000"
{仓库}({等级} 6),8,6,240,6_6,3000,3000,3000,0,3600,"{资源} {最大存储量}({铁锭} {减半})_2,400,000",64_2400000,Storehouse(Lv 6),"Resources Max Storage Capacity(Iron Halving)_2,400,000"
{仓库}({等级} 7),8,7,300,6_7,6000,6000,6000,0,7200,"{资源} {最大存储量}({铁锭} {减半})_2,800,000",64_2800000,Storehouse(Lv 7),"Resources Max Storage Capacity(Iron Halving)_2,800,000"
{仓库}({等级} 8),8,8,452,6_8,11666,11666,11666,0,14000,"{资源} {最大存储量}({铁锭} {减半})_3,200,000",64_3200000,Storehouse(Lv 8),"Resources Max Storage Capacity(Iron Halving)_3,200,000"
{仓库}({等级} 9),8,9,888,6_9,21833,21833,21833,10916,26200,"{资源} {最大存储量}({铁锭} {减半})_4,000,000",64_4000000,Storehouse(Lv 9),"Resources Max Storage Capacity(Iron Halving)_4,000,000"
{仓库}({等级} 10),8,10,1615,6_10,36333,36333,36333,18166,43600,"{资源} {最大存储量}({铁锭} {减半})_4,800,000",64_4800000,Storehouse(Lv 10),"Resources Max Storage Capacity(Iron Halving)_4,800,000"
{仓库}({等级} 11),8,11,2773,6_11,57916,57916,57916,28958,69500,"{资源} {最大存储量}({铁锭} {减半})_5,600,000",64_5600000,Storehouse(Lv 11),"Resources Max Storage Capacity(Iron Halving)_5,600,000"
{仓库}({等级} 12),8,12,4555,6_12,89083,89083,89083,44541,106900,"{资源} {最大存储量}({铁锭} {减半})_6,400,000",64_6400000,Storehouse(Lv 12),"Resources Max Storage Capacity(Iron Halving)_6,400,000"
{仓库}({等级} 13),8,13,7208,6_13,132666,132666,132666,66333,159200,"{资源} {最大存储量}({铁锭} {减半})_7,200,000",64_7200000,Storehouse(Lv 13),"Resources Max Storage Capacity(Iron Halving)_7,200,000"
{仓库}({等级} 14),8,14,11060,6_14,192583,192583,192583,96291,231100,"{资源} {最大存储量}({铁锭} {减半})_8,000,000",64_8000000,Storehouse(Lv 14),"Resources Max Storage Capacity(Iron Halving)_8,000,000"
{仓库}({等级} 15),8,15,16527,6_15,273333,273333,273333,136666,328000,"{资源} {最大存储量}({铁锭} {减半})_8,800,000",64_8800000,Storehouse(Lv 15),"Resources Max Storage Capacity(Iron Halving)_8,800,000"
{仓库}({等级} 16),8,16,24133,6_16,380333,380333,380333,190166,456400,"{资源} {最大存储量}({铁锭} {减半})_9,600,000",64_9600000,Storehouse(Lv 16),"Resources Max Storage Capacity(Iron Halving)_9,600,000"
{仓库}({等级} 17),8,17,34538,6_17,520250,520250,520250,260125,624300,"{资源} {最大存储量}({铁锭} {减半})_10,400,000",64_10400000,Storehouse(Lv 17),"Resources Max Storage Capacity(Iron Halving)_10,400,000"
{仓库}({等级} 18),8,18,48557,6_18,700916,700916,700916,350458,841100,"{资源} {最大存储量}({铁锭} {减半})_11,200,000",64_11200000,Storehouse(Lv 18),"Resources Max Storage Capacity(Iron Halving)_11,200,000"
{仓库}({等级} 19),8,19,67192,6_19,931750,931750,931750,465875,1118100,"{资源} {最大存储量}({铁锭} {减半})_12,000,000",64_12000000,Storehouse(Lv 19),"Resources Max Storage Capacity(Iron Halving)_12,000,000"
{仓库}({等级} 20),8,20,91667,6_20,1223750,1223750,1223750,611875,1468500,"{资源} {最大存储量}({铁锭} {减半})_13,200,000",64_13200000,Storehouse(Lv 20),"Resources Max Storage Capacity(Iron Halving)_13,200,000"
{仓库}({等级} 21),8,21,123463,6_21,1589833,1589833,1589833,794916,1907800,"{资源} {最大存储量}({铁锭} {减半})_14,400,000",64_14400000,Storehouse(Lv 21),"Resources Max Storage Capacity(Iron Halving)_14,400,000"
{仓库}({等级} 22),8,22,164368,6_22,2045250,2045250,2045250,1022625,2454300,"{资源} {最大存储量}({铁锭} {减半})_15,600,000",64_15600000,Storehouse(Lv 22),"Resources Max Storage Capacity(Iron Halving)_15,600,000"
{仓库}({等级} 23),8,23,216522,6_23,2607666,2607666,2607666,1303833,3129200,"{资源} {最大存储量}({铁锭} {减半})_16,800,000",64_16800000,Storehouse(Lv 23),"Resources Max Storage Capacity(Iron Halving)_16,800,000"
{仓库}({等级} 24),8,24,282478,6_24,3297833,3297833,3297833,1648916,3957400,"{资源} {最大存储量}({铁锭} {减半})_18,000,000",64_18000000,Storehouse(Lv 24),"Resources Max Storage Capacity(Iron Halving)_18,000,000"
{仓库}({等级} 25),8,25,365268,6_25,4139500,4139500,4139500,2069750,4967400,"{资源} {最大存储量}({铁锭} {减半})_20,000,000",64_20000000,Storehouse(Lv 25),"Resources Max Storage Capacity(Iron Halving)_20,000,000"
{联盟中心}({等级} 1),9,1,40,1_2,25,25,25,0,10,{可被帮助次数}_5,68_5,Union Center(Lv 1),Times That Can Be Helped_5
{联盟中心}({等级} 2),9,2,80,1_2,50,50,50,0,30,{可被帮助次数}_6,68_6,Union Center(Lv 2),Times That Can Be Helped_6
{联盟中心}({等级} 3),9,3,120,1_3,100,100,100,0,120,{可被帮助次数}_7,68_7,Union Center(Lv 3),Times That Can Be Helped_7
{联盟中心}({等级} 4),9,4,160,1_4,483,483,483,0,300,{可被帮助次数}_8,68_8,Union Center(Lv 4),Times That Can Be Helped_8
{联盟中心}({等级} 5),9,5,200,1_5,1333,1333,1333,0,1600,{可被帮助次数}_9,68_9,Union Center(Lv 5),Times That Can Be Helped_9
{联盟中心}({等级} 6),9,6,240,1_6,3000,3000,3000,0,3600,{可被帮助次数}_10,68_10,Union Center(Lv 6),Times That Can Be Helped_10
{联盟中心}({等级} 7),9,7,300,1_7,6000,6000,6000,0,7200,{可被帮助次数}_11,68_11,Union Center(Lv 7),Times That Can Be Helped_11
{联盟中心}({等级} 8),9,8,452,1_8,11666,11666,11666,0,14000,{可被帮助次数}_12,68_12,Union Center(Lv 8),Times That Can Be Helped_12
{联盟中心}({等级} 9),9,9,888,1_9,21833,21833,21833,10916,26200,{可被帮助次数}_13,68_13,Union Center(Lv 9),Times That Can Be Helped_13
{联盟中心}({等级} 10),9,10,1615,1_10,36333,36333,36333,18166,43600,{可被帮助次数}_14,68_14,Union Center(Lv 10),Times That Can Be Helped_14
{联盟中心}({等级} 11),9,11,2773,1_11,57916,57916,57916,28958,69500,{可被帮助次数}_15,68_15,Union Center(Lv 11),Times That Can Be Helped_15
{联盟中心}({等级} 12),9,12,4555,1_12,89083,89083,89083,44541,106900,{可被帮助次数}_16,68_16,Union Center(Lv 12),Times That Can Be Helped_16
{联盟中心}({等级} 13),9,13,7208,1_13,132666,132666,132666,66333,159200,{可被帮助次数}_17,68_17,Union Center(Lv 13),Times That Can Be Helped_17
{联盟中心}({等级} 14),9,14,11060,1_14,192583,192583,192583,96291,231100,{可被帮助次数}_18,68_18,Union Center(Lv 14),Times That Can Be Helped_18
{联盟中心}({等级} 15),9,15,16527,1_15,273333,273333,273333,136666,328000,{可被帮助次数}_19,68_19,Union Center(Lv 15),Times That Can Be Helped_19
{联盟中心}({等级} 16),9,16,24133,1_16,380333,380333,380333,190166,456400,{可被帮助次数}_20,68_20,Union Center(Lv 16),Times That Can Be Helped_20
{联盟中心}({等级} 17),9,17,34538,1_17,520250,520250,520250,260125,624300,{可被帮助次数}_21,68_21,Union Center(Lv 17),Times That Can Be Helped_21
{联盟中心}({等级} 18),9,18,48557,1_18,700916,700916,700916,350458,841100,{可被帮助次数}_22,68_22,Union Center(Lv 18),Times That Can Be Helped_22
{联盟中心}({等级} 19),9,19,67192,1_19,931750,931750,931750,465875,1118100,{可被帮助次数}_23,68_23,Union Center(Lv 19),Times That Can Be Helped_23
{联盟中心}({等级} 20),9,20,91667,1_20,1223750,1223750,1223750,611875,1468500,{可被帮助次数}_24,68_24,Union Center(Lv 20),Times That Can Be Helped_24
{联盟中心}({等级} 21),9,21,123463,1_21,1589833,1589833,1589833,794916,1907800,{可被帮助次数}_25,68_25,Union Center(Lv 21),Times That Can Be Helped_25
{联盟中心}({等级} 22),9,22,164368,1_22,2045250,2045250,2045250,1022625,2454300,{可被帮助次数}_26,68_26,Union Center(Lv 22),Times That Can Be Helped_26
{联盟中心}({等级} 23),9,23,216522,1_23,2607666,2607666,2607666,1303833,3129200,{可被帮助次数}_27,68_27,Union Center(Lv 23),Times That Can Be Helped_27
{联盟中心}({等级} 24),9,24,282478,1_24,3297833,3297833,3297833,1648916,3957400,{可被帮助次数}_28,68_28,Union Center(Lv 24),Times That Can Be Helped_28
{联盟中心}({等级} 25),9,25,365268,1_25,4139500,4139500,4139500,2069750,4967400,{可被帮助次数}_30,68_30,Union Center(Lv 25),Times That Can Be Helped_30
{学院}({等级} 1),10,1,50,1_2,25,25,25,0,10,{学院} {研究速度}_+1%,12_0.01,Academy(Lv 1),Academy Research Spd_+1%
{学院}({等级} 2),10,2,100,11_2,50,50,50,0,30,{学院} {研究速度}_+1.5%,12_0.015,Academy(Lv 2),Academy Research Spd_+1.5%
{学院}({等级} 3),10,3,150,11_3,100,100,100,0,120,{学院} {研究速度}_+2%,12_0.02,Academy(Lv 3),Academy Research Spd_+2%
{学院}({等级} 4),10,4,200,11_4,400,400,400,0,300,{学院} {研究速度}_+2.5%,12_0.025,Academy(Lv 4),Academy Research Spd_+2.5%
{学院}({等级} 5),10,5,250,11_5,1000,1000,1000,0,1200,{学院} {研究速度}_+3%,12_0.03,Academy(Lv 5),Academy Research Spd_+3%
{学院}({等级} 6),10,6,300,11_6,2750,2750,2750,0,3300,{学院} {研究速度}_+3.5%,12_0.035,Academy(Lv 6),Academy Research Spd_+3.5%
{学院}({等级} 7),10,7,400,11_7,5000,5000,5000,0,6000,{学院} {研究速度}_+4%,12_0.04,Academy(Lv 7),Academy Research Spd_+4%
{学院}({等级} 8),10,8,600,11_8,10000,10000,10000,0,12000,{学院} {研究速度}_+4.5%,12_0.045,Academy(Lv 8),Academy Research Spd_+4.5%
{学院}({等级} 9),10,9,802,11_9,20833,20833,20833,10416,25000,{学院} {研究速度}_+5%,12_0.05,Academy(Lv 9),Academy Research Spd_+5%
{学院}({等级} 10),10,10,1668,11_10,43333,43333,43333,21666,52000,{学院} {研究速度}_+5.5%,12_0.055,Academy(Lv 10),Academy Research Spd_+5.5%
{学院}({等级} 11),10,11,3040,11_11,68583,68583,68583,34291,82300,{学院} {研究速度}_+6%,12_0.06,Academy(Lv 11),Academy Research Spd_+6%
{学院}({等级} 12),10,12,5160,11_12,106000,106000,106000,53000,127200,{学院} {研究速度}_+6.5%,12_0.065,Academy(Lv 12),Academy Research Spd_+6.5%
{学院}({等级} 13),10,13,8335,11_13,158750,158750,158750,79375,190500,{学院} {研究速度}_+7%,12_0.07,Academy(Lv 13),Academy Research Spd_+7%
{学院}({等级} 14),10,14,12968,11_14,231666,231666,231666,115833,278000,{学院} {研究速度}_+7.5%,12_0.075,Academy(Lv 14),Academy Research Spd_+7.5%
{学院}({等级} 15),10,15,19575,11_15,330333,330333,330333,165166,396400,{学院} {研究速度}_+8%,12_0.08,Academy(Lv 15),Academy Research Spd_+8%
{学院}({等级} 16),10,16,28810,11_16,461750,461750,461750,230875,554100,{学院} {研究速度}_+8.5%,12_0.085,Academy(Lv 16),Academy Research Spd_+8.5%
{学院}({等级} 17),10,17,41497,11_17,634333,634333,634333,317166,761200,{学院} {研究速度}_+9%,12_0.09,Academy(Lv 17),Academy Research Spd_+9%
{学院}({等级} 18),10,18,58660,11_18,858166,858166,858166,429083,1029800,{学院} {研究速度}_+9.5%,12_0.095,Academy(Lv 18),Academy Research Spd_+9.5%
{学院}({等级} 19),10,19,81562,11_19,1145083,1145083,1145083,572541,1374100,{学院} {研究速度}_+10%,12_0.10,Academy(Lv 19),Academy Research Spd_+10%
{学院}({等级} 20),10,20,111747,11_20,1509250,1509250,1509250,754625,1811100,{学院} {研究速度}_+11%,12_0.11,Academy(Lv 20),Academy Research Spd_+11%
{学院}({等级} 21),10,21,151097,11_21,1967500,1967500,1967500,983750,2361000,{学院} {研究速度}_+12%,12_0.12,Academy(Lv 21),Academy Research Spd_+12%
{学院}({等级} 22),10,22,201883,11_22,2539333,2539333,2539333,1269666,3047200,{学院} {研究速度}_+14%,12_0.14,Academy(Lv 22),Academy Research Spd_+14%
{学院}({等级} 23),10,23,266838,11_23,3247750,3247750,3247750,1623875,3897300,{学院} {研究速度}_+16%,12_0.16,Academy(Lv 23),Academy Research Spd_+16%
{学院}({等级} 24),10,24,349227,11_24,4119416,4119416,4119416,2059708,4943300,{学院} {研究速度}_+18%,12_0.18,Academy(Lv 24),Academy Research Spd_+18%
{学院}({等级} 25),10,25,452940,11_25,5185666,5185666,5185666,2592833,6222800,{学院} {研究速度}_+20%,12_0.20,Academy(Lv 25),Academy Research Spd_+20%
{冒险者公会}({等级} 1),11,1,50,0_0,25,25,25,0,10,{免费召唤时间}_48{小时},76_48,Adventurer Guild(Lv 1),Free Summon Time_48H
{冒险者公会}({等级} 2),11,2,100,6_2,50,50,50,0,30,{免费召唤时间}_47{小时},76_47,Adventurer Guild(Lv 2),Free Summon Time_47H
{冒险者公会}({等级} 3),11,3,150,6_3,100,100,100,0,120,{免费召唤时间}_46{小时},76_46,Adventurer Guild(Lv 3),Free Summon Time_46H
{冒险者公会}({等级} 4),11,4,200,6_4,400,400,400,0,300,{免费召唤时间}_45{小时},76_45,Adventurer Guild(Lv 4),Free Summon Time_45H
{冒险者公会}({等级} 5),11,5,250,6_5,1000,1000,1000,0,1200,{免费召唤时间}_44{小时},76_44,Adventurer Guild(Lv 5),Free Summon Time_44H
{冒险者公会}({等级} 6),11,6,300,6_6,2750,2750,2750,0,3300,{免费召唤时间}_43{小时},76_43,Adventurer Guild(Lv 6),Free Summon Time_43H
{冒险者公会}({等级} 7),11,7,400,6_7,5000,5000,5000,0,6000,{免费召唤时间}_42{小时},76_42,Adventurer Guild(Lv 7),Free Summon Time_42H
{冒险者公会}({等级} 8),11,8,600,6_8,10000,10000,10000,0,12000,{免费召唤时间}_41{小时},76_41,Adventurer Guild(Lv 8),Free Summon Time_41H
{冒险者公会}({等级} 9),11,9,802,6_9,20833,20833,20833,10416,25000,{免费召唤时间}_40{小时},76_40,Adventurer Guild(Lv 9),Free Summon Time_40H
{冒险者公会}({等级} 10),11,10,1668,6_10,43333,43333,43333,21666,52000,{免费召唤时间}_39{小时},76_39,Adventurer Guild(Lv 10),Free Summon Time_39H
{冒险者公会}({等级} 11),11,11,3040,6_11,68583,68583,68583,34291,82300,{免费召唤时间}_38{小时},76_38,Adventurer Guild(Lv 11),Free Summon Time_38H
{冒险者公会}({等级} 12),11,12,5160,6_12,106000,106000,106000,53000,127200,{免费召唤时间}_37{小时},76_37,Adventurer Guild(Lv 12),Free Summon Time_37H
{冒险者公会}({等级} 13),11,13,8335,6_13,158750,158750,158750,79375,190500,{免费召唤时间}_36{小时},76_36,Adventurer Guild(Lv 13),Free Summon Time_36H
{冒险者公会}({等级} 14),11,14,12968,6_14,231666,231666,231666,115833,278000,{免费召唤时间}_35{小时},76_35,Adventurer Guild(Lv 14),Free Summon Time_35H
{冒险者公会}({等级} 15),11,15,19575,6_15,330333,330333,330333,165166,396400,{免费召唤时间}_34{小时},76_34,Adventurer Guild(Lv 15),Free Summon Time_34H
{冒险者公会}({等级} 16),11,16,28810,6_16,461750,461750,461750,230875,554100,{免费召唤时间}_33{小时},76_33,Adventurer Guild(Lv 16),Free Summon Time_33H
{冒险者公会}({等级} 17),11,17,41497,6_17,634333,634333,634333,317166,761200,{免费召唤时间}_32{小时},76_32,Adventurer Guild(Lv 17),Free Summon Time_32H
{冒险者公会}({等级} 18),11,18,58660,6_18,858166,858166,858166,429083,1029800,{免费召唤时间}_31{小时},76_31,Adventurer Guild(Lv 18),Free Summon Time_31H
{冒险者公会}({等级} 19),11,19,81562,6_19,1145083,1145083,1145083,572541,1374100,{免费召唤时间}_30{小时},76_30,Adventurer Guild(Lv 19),Free Summon Time_30H
{冒险者公会}({等级} 20),11,20,111747,6_20,1509250,1509250,1509250,754625,1811100,{免费召唤时间}_29{小时},76_29,Adventurer Guild(Lv 20),Free Summon Time_29H
{冒险者公会}({等级} 21),11,21,151097,6_21,1967500,1967500,1967500,983750,2361000,{免费召唤时间}_28{小时},76_28,Adventurer Guild(Lv 21),Free Summon Time_28H
{冒险者公会}({等级} 22),11,22,201883,6_22,2539333,2539333,2539333,1269666,3047200,{免费召唤时间}_27{小时},76_27,Adventurer Guild(Lv 22),Free Summon Time_27H
{冒险者公会}({等级} 23),11,23,266838,6_23,3247750,3247750,3247750,1623875,3897300,{免费召唤时间}_26{小时},76_26,Adventurer Guild(Lv 23),Free Summon Time_26H
{冒险者公会}({等级} 24),11,24,349227,6_24,4119416,4119416,4119416,2059708,4943300,{免费召唤时间}_25{小时},76_25,Adventurer Guild(Lv 24),Free Summon Time_25H
{冒险者公会}({等级} 25),11,25,452940,6_25,5185666,5185666,5185666,2592833,6222800,{免费召唤时间}_24{小时},76_24,Adventurer Guild(Lv 25),Free Summon Time_24H
{商店}({等级} 1),12,1,40,1_5,25,25,25,0,10,{金币} {产量}_+200/{小时},200_200,Store(Lv 1),Gold Coin Output_+200/H
{商店}({等级} 2),12,2,80,1_5,50,50,50,0,30,{金币} {产量}_+220/{小时},200_220,Store(Lv 2),Gold Coin Output_+220/H
{商店}({等级} 3),12,3,120,1_5,100,100,100,0,120,{金币} {产量}_+240/{小时},200_240,Store(Lv 3),Gold Coin Output_+240/H
{商店}({等级} 4),12,4,160,1_5,483,483,483,0,300,{金币} {产量}_+260/{小时},200_260,Store(Lv 4),Gold Coin Output_+260/H
{商店}({等级} 5),12,5,200,1_5,1333,1333,1333,0,1600,{金币} {产量}_+280/{小时},200_280,Store(Lv 5),Gold Coin Output_+280/H
{商店}({等级} 6),12,6,240,8_6,3000,3000,3000,0,3600,{金币} {产量}_+300/{小时},200_300,Store(Lv 6),Gold Coin Output_+300/H
{商店}({等级} 7),12,7,300,8_7,6000,6000,6000,0,7200,{金币} {产量}_+320/{小时},200_320,Store(Lv 7),Gold Coin Output_+320/H
{商店}({等级} 8),12,8,452,8_8,11666,11666,11666,0,14000,{金币} {产量}_+340/{小时},200_340,Store(Lv 8),Gold Coin Output_+340/H
{商店}({等级} 9),12,9,888,8_9,21833,21833,21833,10916,26200,{金币} {产量}_+360/{小时},200_360,Store(Lv 9),Gold Coin Output_+360/H
{商店}({等级} 10),12,10,1615,8_10,36333,36333,36333,18166,43600,{金币} {产量}_+380/{小时},200_380,Store(Lv 10),Gold Coin Output_+380/H
{商店}({等级} 11),12,11,2773,8_11,57916,57916,57916,28958,69500,{金币} {产量}_+410/{小时},200_410,Store(Lv 11),Gold Coin Output_+410/H
{商店}({等级} 12),12,12,4555,8_12,89083,89083,89083,44541,106900,{金币} {产量}_+440/{小时},200_440,Store(Lv 12),Gold Coin Output_+440/H
{商店}({等级} 13),12,13,7208,8_13,132666,132666,132666,66333,159200,{金币} {产量}_+470/{小时},200_470,Store(Lv 13),Gold Coin Output_+470/H
{商店}({等级} 14),12,14,11060,8_14,192583,192583,192583,96291,231100,{金币} {产量}_+500/{小时},200_500,Store(Lv 14),Gold Coin Output_+500/H
{商店}({等级} 15),12,15,16527,8_15,273333,273333,273333,136666,328000,{金币} {产量}_+530/{小时},200_530,Store(Lv 15),Gold Coin Output_+530/H
{商店}({等级} 16),12,16,24133,8_16,380333,380333,380333,190166,456400,{金币} {产量}_+560/{小时},200_560,Store(Lv 16),Gold Coin Output_+560/H
{商店}({等级} 17),12,17,34538,8_17,520250,520250,520250,260125,624300,{金币} {产量}_+590/{小时},200_590,Store(Lv 17),Gold Coin Output_+590/H
