name,id,lv,power,need_technology,union_Ci,union_Si,union_Fe,union_Ue,union_Gold,time,des,function_val,buff_id,name_en,des_en
{健步如飞} I,6021,5,4019,6011_5+6012_5+6013_5+6014_5,2700,2700,2700,1350,1350,14400,{所有士兵} {行军速度}_+5%,0.05,30,Fast Movement I,All Soldiers March Spd_+5%
{步兵} {护盾} I,6031,1,201,6021_1,720,720,720,360,360,28800,{步兵} {防御}_+1%,0.01,23,Infantry Shield I,Infantry DEF_+1%
{步兵} {护盾} I,6031,2,517,0,1080,1080,1080,540,540,28800,{步兵} {防御}_+2%,0.02,23,Infantry Shield I,Infantry DEF_+2%
{步兵} {护盾} I,6031,3,1039,0,1800,1800,1800,900,900,28800,{步兵} {防御}_+3%,0.03,23,Infantry Shield I,Infantry DEF_+3%
{步兵} {护盾} I,6031,4,1897,0,2700,2700,2700,1350,1350,28800,{步兵} {防御}_+4%,0.04,23,Infantry Shield I,Infantry DEF_+4%
{步兵} {护盾} I,6031,5,3390,6021_5,4500,4500,4500,2250,2250,28800,{步兵} {防御}_+5%,0.05,23,Infantry Shield I,Infantry DEF_+5%
{弓兵} {护甲} I,6032,1,201,6021_1,720,720,720,360,360,28800,{弓兵} {防御}_+1%,0.01,24,Archer Armor I,Archer DEF_+1%
{弓兵} {护甲} I,6032,2,517,0,1080,1080,1080,540,540,28800,{弓兵} {防御}_+2%,0.02,24,Archer Armor I,Archer DEF_+2%
{弓兵} {护甲} I,6032,3,1039,0,1800,1800,1800,900,900,28800,{弓兵} {防御}_+3%,0.03,24,Archer Armor I,Archer DEF_+3%
{弓兵} {护甲} I,6032,4,1897,0,2700,2700,2700,1350,1350,28800,{弓兵} {防御}_+4%,0.04,24,Archer Armor I,Archer DEF_+4%
{弓兵} {护甲} I,6032,5,3390,6021_5,4500,4500,4500,2250,2250,28800,{弓兵} {防御}_+5%,0.05,24,Archer Armor I,Archer DEF_+5%
{骑兵} {护甲} I,6033,1,201,6021_1,720,720,720,360,360,28800,{骑兵} {防御}_+1%,0.01,25,Cavalry Armor I,Cavalry DEF_+1%
{骑兵} {护甲} I,6033,2,517,0,1080,1080,1080,540,540,28800,{骑兵} {防御}_+2%,0.02,25,Cavalry Armor I,Cavalry DEF_+2%
{骑兵} {护甲} I,6033,3,1039,0,1800,1800,1800,900,900,28800,{骑兵} {防御}_+3%,0.03,25,Cavalry Armor I,Cavalry DEF_+3%
{骑兵} {护甲} I,6033,4,1897,0,2700,2700,2700,1350,1350,28800,{骑兵} {防御}_+4%,0.04,25,Cavalry Armor I,Cavalry DEF_+4%
{骑兵} {护甲} I,6033,5,3390,6021_5,4500,4500,4500,2250,2250,28800,{骑兵} {防御}_+5%,0.05,25,Cavalry Armor I,Cavalry DEF_+5%
{战车} {护盾} I,6034,1,201,6021_1,720,720,720,360,360,28800,{战车} {防御}_+1%,0.01,26,Chariot Shield I,Chariot DEF_+1%
{战车} {护盾} I,6034,2,517,0,1080,1080,1080,540,540,28800,{战车} {防御}_+2%,0.02,26,Chariot Shield I,Chariot DEF_+2%
{战车} {护盾} I,6034,3,1039,0,1800,1800,1800,900,900,28800,{战车} {防御}_+3%,0.03,26,Chariot Shield I,Chariot DEF_+3%
{战车} {护盾} I,6034,4,1897,0,2700,2700,2700,1350,1350,28800,{战车} {防御}_+4%,0.04,26,Chariot Shield I,Chariot DEF_+4%
{战车} {护盾} I,6034,5,3390,6021_5,4500,4500,4500,2250,2250,28800,{战车} {防御}_+5%,0.05,26,Chariot Shield I,Chariot DEF_+5%
{强生健体} I,6041,1,338,6031_3+6032_3,3600,3600,3600,1800,1800,28800,{所有士兵} {生命}_+1%,0.01,28,Strengthening Body I,All Soldiers HP_+1%
{强生健体} I,6041,2,829,0,7200,7200,7200,3600,3600,28800,{所有士兵} {生命}_+2%,0.02,28,Strengthening Body I,All Soldiers HP_+2%
{强生健体} I,6041,3,1537,0,10800,10800,10800,5400,5400,28800,{所有士兵} {生命}_+3%,0.03,28,Strengthening Body I,All Soldiers HP_+3%
{强生健体} I,6041,4,2552,0,14400,14400,14400,7200,7200,28800,{所有士兵} {生命}_+4%,0.04,28,Strengthening Body I,All Soldiers HP_+4%
{强生健体} I,6041,5,4019,6031_5+6032_5,18000,18000,18000,9000,9000,28800,{所有士兵} {生命}_+5%,0.05,28,Strengthening Body I,All Soldiers HP_+5%
{所向披靡} I,6042,1,338,6033_3+6034_3,3600,3600,3600,1800,1800,28800,{所有士兵} {破坏}_+1%,0.01,27,Invincible I,All Soldiers DES_+1%
{所向披靡} I,6042,2,829,0,7200,7200,7200,3600,3600,28800,{所有士兵} {破坏}_+2%,0.02,27,Invincible I,All Soldiers DES_+2%
{所向披靡} I,6042,3,1537,0,10800,10800,10800,5400,5400,28800,{所有士兵} {破坏}_+3%,0.03,27,Invincible I,All Soldiers DES_+3%
{所向披靡} I,6042,4,2552,0,14400,14400,14400,7200,7200,28800,{所有士兵} {破坏}_+4%,0.04,27,Invincible I,All Soldiers DES_+4%
{所向披靡} I,6042,5,4019,6033_5+6034_5,18000,18000,18000,9000,9000,28800,{所有士兵} {破坏}_+5%,0.05,27,Invincible I,All Soldiers DES_+5%
{步兵} {集训} II,6051,1,700,6041_1,3600,3600,3600,1800,1800,28800,{步兵} {攻击}_+1%,0.01,18,Infantry Intensive Training II,Infantry ATK_+1%
{步兵} {集训} II,6051,2,1798,0,7200,7200,7200,3600,3600,28800,{步兵} {攻击}_+2%,0.02,18,Infantry Intensive Training II,Infantry ATK_+2%
{步兵} {集训} II,6051,3,3573,0,10800,10800,10800,5400,5400,28800,{步兵} {攻击}_+3%,0.03,18,Infantry Intensive Training II,Infantry ATK_+3%
{步兵} {集训} II,6051,4,6480,0,14400,14400,14400,7200,7200,28800,{步兵} {攻击}_+4%,0.04,18,Infantry Intensive Training II,Infantry ATK_+4%
{步兵} {集训} II,6051,5,10220,6041_5,18000,18000,18000,9000,9000,28800,{步兵} {攻击}_+5%,0.05,18,Infantry Intensive Training II,Infantry ATK_+5%
{步兵} {集训} II,6051,6,16901,0,21600,21600,21600,10800,10800,28800,{步兵} {攻击}_+6%,0.06,18,Infantry Intensive Training II,Infantry ATK_+6%
{步兵} {集训} II,6051,7,25748,0,27000,27000,27000,13500,13500,28800,{步兵} {攻击}_+7%,0.07,18,Infantry Intensive Training II,Infantry ATK_+7%
{步兵} {集训} II,6051,8,38891,0,32400,32400,32400,16200,16200,28800,{步兵} {攻击}_+8%,0.08,18,Infantry Intensive Training II,Infantry ATK_+8%
{步兵} {集训} II,6051,9,64475,0,37800,37800,37800,18900,18900,28800,{步兵} {攻击}_+9%,0.09,18,Infantry Intensive Training II,Infantry ATK_+9%
{步兵} {集训} II,6051,10,102443,0,45000,45000,45000,22500,22500,28800,{步兵} {攻击}_+10%,0.1,18,Infantry Intensive Training II,Infantry ATK_+10%
{弓兵} {集训} II,6052,1,700,6041_1,3600,3600,3600,1800,1800,28800,{弓兵} {攻击}_+1%,0.01,19,Archer Intensive Training II,Archer ATK_+1%
{弓兵} {集训} II,6052,2,1798,0,7200,7200,7200,3600,3600,28800,{弓兵} {攻击}_+2%,0.02,19,Archer Intensive Training II,Archer ATK_+2%
{弓兵} {集训} II,6052,3,3573,0,10800,10800,10800,5400,5400,28800,{弓兵} {攻击}_+3%,0.03,19,Archer Intensive Training II,Archer ATK_+3%
{弓兵} {集训} II,6052,4,6480,0,14400,14400,14400,7200,7200,28800,{弓兵} {攻击}_+4%,0.04,19,Archer Intensive Training II,Archer ATK_+4%
{弓兵} {集训} II,6052,5,10220,6041_5,18000,18000,18000,9000,9000,28800,{弓兵} {攻击}_+5%,0.05,19,Archer Intensive Training II,Archer ATK_+5%
{弓兵} {集训} II,6052,6,16901,0,21600,21600,21600,10800,10800,28800,{弓兵} {攻击}_+6%,0.06,19,Archer Intensive Training II,Archer ATK_+6%
{弓兵} {集训} II,6052,7,25748,0,27000,27000,27000,13500,13500,28800,{弓兵} {攻击}_+7%,0.07,19,Archer Intensive Training II,Archer ATK_+7%
{弓兵} {集训} II,6052,8,38891,0,32400,32400,32400,16200,16200,28800,{弓兵} {攻击}_+8%,0.08,19,Archer Intensive Training II,Archer ATK_+8%
{弓兵} {集训} II,6052,9,64475,0,37800,37800,37800,18900,18900,28800,{弓兵} {攻击}_+9%,0.09,19,Archer Intensive Training II,Archer ATK_+9%
{弓兵} {集训} II,6052,10,102443,0,45000,45000,45000,22500,22500,28800,{弓兵} {攻击}_+10%,0.1,19,Archer Intensive Training II,Archer ATK_+10%
{骑兵} {集训} II,6053,1,700,6042_1,3600,3600,3600,1800,1800,28800,{骑兵} {攻击}_+1%,0.01,20,Cavalry Intensive Training II,Cavalry ATK_+1%
{骑兵} {集训} II,6053,2,1798,0,7200,7200,7200,3600,3600,28800,{骑兵} {攻击}_+2%,0.02,20,Cavalry Intensive Training II,Cavalry ATK_+2%
{骑兵} {集训} II,6053,3,3573,0,10800,10800,10800,5400,5400,28800,{骑兵} {攻击}_+3%,0.03,20,Cavalry Intensive Training II,Cavalry ATK_+3%
{骑兵} {集训} II,6053,4,6480,0,14400,14400,14400,7200,7200,28800,{骑兵} {攻击}_+4%,0.04,20,Cavalry Intensive Training II,Cavalry ATK_+4%
{骑兵} {集训} II,6053,5,10220,6042_5,18000,18000,18000,9000,9000,28800,{骑兵} {攻击}_+5%,0.05,20,Cavalry Intensive Training II,Cavalry ATK_+5%
{骑兵} {集训} II,6053,6,16901,0,21600,21600,21600,10800,10800,28800,{骑兵} {攻击}_+6%,0.06,20,Cavalry Intensive Training II,Cavalry ATK_+6%
{骑兵} {集训} II,6053,7,25748,0,27000,27000,27000,13500,13500,28800,{骑兵} {攻击}_+7%,0.07,20,Cavalry Intensive Training II,Cavalry ATK_+7%
{骑兵} {集训} II,6053,8,38891,0,32400,32400,32400,16200,16200,28800,{骑兵} {攻击}_+8%,0.08,20,Cavalry Intensive Training II,Cavalry ATK_+8%
{骑兵} {集训} II,6053,9,64475,0,37800,37800,37800,18900,18900,28800,{骑兵} {攻击}_+9%,0.09,20,Cavalry Intensive Training II,Cavalry ATK_+9%
{骑兵} {集训} II,6053,10,102443,0,45000,45000,45000,22500,22500,28800,{骑兵} {攻击}_+10%,0.1,20,Cavalry Intensive Training II,Cavalry ATK_+10%
{战车} {加固} II,6054,1,763,6042_1,3600,3600,3600,1800,1800,28800,{战车} {攻击}_+1%,0.01,21,Chariot Reinforcement II,Chariot ATK_+1%
{战车} {加固} II,6054,2,1924,0,7200,7200,7200,3600,3600,28800,{战车} {攻击}_+2%,0.02,21,Chariot Reinforcement II,Chariot ATK_+2%
{战车} {加固} II,6054,3,3823,0,10800,10800,10800,5400,5400,28800,{战车} {攻击}_+3%,0.03,21,Chariot Reinforcement II,Chariot ATK_+3%
{战车} {加固} II,6054,4,7128,0,14400,14400,14400,7200,7200,28800,{战车} {攻击}_+4%,0.04,21,Chariot Reinforcement II,Chariot ATK_+4%
{战车} {加固} II,6054,5,11037,6042_5,18000,18000,18000,9000,9000,28800,{战车} {攻击}_+5%,0.05,21,Chariot Reinforcement II,Chariot ATK_+5%
{战车} {加固} II,6054,6,18422,0,21600,21600,21600,10800,10800,28800,{战车} {攻击}_+6%,0.06,21,Chariot Reinforcement II,Chariot ATK_+6%
{战车} {加固} II,6054,7,27035,0,27000,27000,27000,13500,13500,28800,{战车} {攻击}_+7%,0.07,21,Chariot Reinforcement II,Chariot ATK_+7%
{战车} {加固} II,6054,8,42002,0,32400,32400,32400,16200,16200,28800,{战车} {攻击}_+8%,0.08,21,Chariot Reinforcement II,Chariot ATK_+8%
{战车} {加固} II,6054,9,67698,0,37800,37800,37800,18900,18900,28800,{战车} {攻击}_+9%,0.09,21,Chariot Reinforcement II,Chariot ATK_+9%
{战车} {加固} II,6054,10,107565,0,45000,45000,45000,22500,22500,28800,{战车} {攻击}_+10%,0.1,21,Chariot Reinforcement II,Chariot ATK_+10%
{健步如飞} II,6061,1,889,6051_1+6052_1+6053_1+6054_1,9000,9000,9000,4500,4500,28800,{所有士兵} {行军速度}_+1%,0.01,30,Fast Movement II,All Soldiers March Spd_+1%
{健步如飞} II,6061,2,2194,0,12600,12600,12600,6300,6300,28800,{所有士兵} {行军速度}_+2%,0.02,30,Fast Movement II,All Soldiers March Spd_+2%
{健步如飞} II,6061,3,4359,0,16200,16200,16200,8100,8100,28800,{所有士兵} {行军速度}_+3%,0.03,30,Fast Movement II,All Soldiers March Spd_+3%
{健步如飞} II,6061,4,8035,0,21600,21600,21600,10800,10800,28800,{所有士兵} {行军速度}_+4%,0.04,30,Fast Movement II,All Soldiers March Spd_+4%
{健步如飞} II,6061,5,12468,6051_5+6052_5+6053_5+6054_5,27000,27000,27000,13500,13500,28800,{所有士兵} {行军速度}_+5%,0.05,30,Fast Movement II,All Soldiers March Spd_+5%
{健步如飞} II,6061,6,21971,0,32400,32400,32400,16200,16200,28800,{所有士兵} {行军速度}_+6%,0.06,30,Fast Movement II,All Soldiers March Spd_+6%
{健步如飞} II,6061,7,33472,0,37800,37800,37800,18900,18900,28800,{所有士兵} {行军速度}_+7%,0.07,30,Fast Movement II,All Soldiers March Spd_+7%
{健步如飞} II,6061,8,48613,0,43200,43200,43200,21600,21600,28800,{所有士兵} {行军速度}_+8%,0.08,30,Fast Movement II,All Soldiers March Spd_+8%
{健步如飞} II,6061,9,81238,0,48600,48600,48600,24300,24300,28800,{所有士兵} {行军速度}_+9%,0.09,30,Fast Movement II,All Soldiers March Spd_+9%
{健步如飞} II,6061,10,130103,6051_10+6052_10+6053_10+6054_10,54000,54000,54000,27000,27000,28800,{所有士兵} {行军速度}_+10%,0.1,30,Fast Movement II,All Soldiers March Spd_+10%
{步兵} {护盾} II,6071,1,756,6061_1,7200,7200,7200,3600,3600,28800,{步兵} {防御}_+1%,0.01,23,Infantry Shield II,Infantry DEF_+1%
{步兵} {护盾} II,6071,2,1986,0,10800,10800,10800,5400,5400,28800,{步兵} {防御}_+2%,0.02,23,Infantry Shield II,Infantry DEF_+2%
{步兵} {护盾} II,6071,3,3988,0,14400,14400,14400,7200,7200,28800,{步兵} {防御}_+3%,0.03,23,Infantry Shield II,Infantry DEF_+3%
{步兵} {护盾} II,6071,4,7309,0,18000,18000,18000,9000,9000,28800,{步兵} {防御}_+4%,0.04,23,Infantry Shield II,Infantry DEF_+4%
{步兵} {护盾} II,6071,5,11537,6061_5,21600,21600,21600,10800,10800,28800,{步兵} {防御}_+5%,0.05,23,Infantry Shield II,Infantry DEF_+5%
{步兵} {护盾} II,6071,6,18876,0,27000,27000,27000,13500,13500,28800,{步兵} {防御}_+6%,0.06,23,Infantry Shield II,Infantry DEF_+6%
{步兵} {护盾} II,6071,7,30234,0,32400,32400,32400,16200,16200,28800,{步兵} {防御}_+7%,0.07,23,Infantry Shield II,Infantry DEF_+7%
{步兵} {护盾} II,6071,8,44387,0,37800,37800,37800,18900,18900,28800,{步兵} {防御}_+8%,0.08,23,Infantry Shield II,Infantry DEF_+8%
{步兵} {护盾} II,6071,9,73536,0,45000,45000,45000,22500,22500,28800,{步兵} {防御}_+9%,0.09,23,Infantry Shield II,Infantry DEF_+9%
{步兵} {护盾} II,6071,10,119763,6061_10,54000,54000,54000,27000,27000,28800,{步兵} {防御}_+10%,0.1,23,Infantry Shield II,Infantry DEF_+10%
{弓兵} {护甲} II,6072,1,756,6061_1,7200,7200,7200,3600,3600,28800,{弓兵} {防御}_+1%,0.01,24,Archer Armor II,Archer DEF_+1%
{弓兵} {护甲} II,6072,2,1986,0,10800,10800,10800,5400,5400,28800,{弓兵} {防御}_+2%,0.02,24,Archer Armor II,Archer DEF_+2%
{弓兵} {护甲} II,6072,3,3988,0,14400,14400,14400,7200,7200,28800,{弓兵} {防御}_+3%,0.03,24,Archer Armor II,Archer DEF_+3%
{弓兵} {护甲} II,6072,4,7309,0,18000,18000,18000,9000,9000,28800,{弓兵} {防御}_+4%,0.04,24,Archer Armor II,Archer DEF_+4%
{弓兵} {护甲} II,6072,5,11537,6061_5,21600,21600,21600,10800,10800,28800,{弓兵} {防御}_+5%,0.05,24,Archer Armor II,Archer DEF_+5%
{弓兵} {护甲} II,6072,6,18876,0,27000,27000,27000,13500,13500,28800,{弓兵} {防御}_+6%,0.06,24,Archer Armor II,Archer DEF_+6%
{弓兵} {护甲} II,6072,7,30234,0,32400,32400,32400,16200,16200,28800,{弓兵} {防御}_+7%,0.07,24,Archer Armor II,Archer DEF_+7%
{弓兵} {护甲} II,6072,8,44387,0,37800,37800,37800,18900,18900,28800,{弓兵} {防御}_+8%,0.08,24,Archer Armor II,Archer DEF_+8%
{弓兵} {护甲} II,6072,9,73536,0,45000,45000,45000,22500,22500,28800,{弓兵} {防御}_+9%,0.09,24,Archer Armor II,Archer DEF_+9%
{弓兵} {护甲} II,6072,10,119763,6061_10,54000,54000,54000,27000,27000,28800,{弓兵} {防御}_+10%,0.1,24,Archer Armor II,Archer DEF_+10%
{骑兵} {护甲} II,6073,1,756,6061_1,7200,7200,7200,3600,3600,28800,{骑兵} {防御}_+1%,0.01,25,Cavalry Armor II,Cavalry DEF_+1%
{骑兵} {护甲} II,6073,2,1986,0,10800,10800,10800,5400,5400,28800,{骑兵} {防御}_+2%,0.02,25,Cavalry Armor II,Cavalry DEF_+2%
{骑兵} {护甲} II,6073,3,3988,0,14400,14400,14400,7200,7200,28800,{骑兵} {防御}_+3%,0.03,25,Cavalry Armor II,Cavalry DEF_+3%
{骑兵} {护甲} II,6073,4,7309,0,18000,18000,18000,9000,9000,28800,{骑兵} {防御}_+4%,0.04,25,Cavalry Armor II,Cavalry DEF_+4%
{骑兵} {护甲} II,6073,5,11537,6061_5,21600,21600,21600,10800,10800,28800,{骑兵} {防御}_+5%,0.05,25,Cavalry Armor II,Cavalry DEF_+5%
{骑兵} {护甲} II,6073,6,18876,0,27000,27000,27000,13500,13500,28800,{骑兵} {防御}_+6%,0.06,25,Cavalry Armor II,Cavalry DEF_+6%
{骑兵} {护甲} II,6073,7,30234,0,32400,32400,32400,16200,16200,28800,{骑兵} {防御}_+7%,0.07,25,Cavalry Armor II,Cavalry DEF_+7%
{骑兵} {护甲} II,6073,8,44387,0,37800,37800,37800,18900,18900,28800,{骑兵} {防御}_+8%,0.08,25,Cavalry Armor II,Cavalry DEF_+8%
{骑兵} {护甲} II,6073,9,73536,0,45000,45000,45000,22500,22500,28800,{骑兵} {防御}_+9%,0.09,25,Cavalry Armor II,Cavalry DEF_+9%
{骑兵} {护甲} II,6073,10,119763,6061_10,54000,54000,54000,27000,27000,28800,{骑兵} {防御}_+10%,0.1,25,Cavalry Armor II,Cavalry DEF_+10%
{战车} {护盾} II,6074,1,832,6061_1,7200,7200,7200,3600,3600,28800,{战车} {防御}_+1%,0.01,26,Chariot Shield II,Chariot DEF_+1%
{战车} {护盾} II,6074,2,2184,0,10800,10800,10800,5400,5400,28800,{战车} {防御}_+2%,0.02,26,Chariot Shield II,Chariot DEF_+2%
{战车} {护盾} II,6074,3,4386,0,14400,14400,14400,7200,7200,28800,{战车} {防御}_+3%,0.03,26,Chariot Shield II,Chariot DEF_+3%
{战车} {护盾} II,6074,4,8040,0,18000,18000,18000,9000,9000,28800,{战车} {防御}_+4%,0.04,26,Chariot Shield II,Chariot DEF_+4%
{战车} {护盾} II,6074,5,12691,6061_5,21600,21600,21600,10800,10800,28800,{战车} {防御}_+5%,0.05,26,Chariot Shield II,Chariot DEF_+5%
{战车} {护盾} II,6074,6,20764,0,27000,27000,27000,13500,13500,28800,{战车} {防御}_+6%,0.06,26,Chariot Shield II,Chariot DEF_+6%
{战车} {护盾} II,6074,7,33257,0,32400,32400,32400,16200,16200,28800,{战车} {防御}_+7%,0.07,26,Chariot Shield II,Chariot DEF_+7%
{战车} {护盾} II,6074,8,48826,0,37800,37800,37800,18900,18900,28800,{战车} {防御}_+8%,0.08,26,Chariot Shield II,Chariot DEF_+8%
{战车} {护盾} II,6074,9,80889,0,45000,45000,45000,22500,22500,28800,{战车} {防御}_+9%,0.09,26,Chariot Shield II,Chariot DEF_+9%
{战车} {护盾} II,6074,10,131739,6061_10,54000,54000,54000,27000,27000,28800,{战车} {防御}_+10%,0.1,26,Chariot Shield II,Chariot DEF_+10%
{强生健体} II,6081,1,832,6071_1+6072_1,7200,7200,7200,3600,3600,43200,{所有士兵} {生命}_+1%,0.01,28,Strengthening Body II,All Soldiers HP_+1%
{强生健体} II,6081,2,2184,0,10800,10800,10800,5400,5400,43200,{所有士兵} {生命}_+2%,0.02,28,Strengthening Body II,All Soldiers HP_+2%
{强生健体} II,6081,3,4386,0,14400,14400,14400,7200,7200,43200,{所有士兵} {生命}_+3%,0.03,28,Strengthening Body II,All Soldiers HP_+3%
{强生健体} II,6081,4,8040,0,18000,18000,18000,9000,9000,43200,{所有士兵} {生命}_+4%,0.04,28,Strengthening Body II,All Soldiers HP_+4%
{强生健体} II,6081,5,12691,6071_5+6072_5,21600,21600,21600,10800,10800,43200,{所有士兵} {生命}_+5%,0.05,28,Strengthening Body II,All Soldiers HP_+5%
{强生健体} II,6081,6,20764,0,27000,27000,27000,13500,13500,43200,{所有士兵} {生命}_+6%,0.06,28,Strengthening Body II,All Soldiers HP_+6%
{强生健体} II,6081,7,33257,0,32400,32400,32400,16200,16200,43200,{所有士兵} {生命}_+7%,0.07,28,Strengthening Body II,All Soldiers HP_+7%
{强生健体} II,6081,8,48826,0,37800,37800,37800,18900,18900,43200,{所有士兵} {生命}_+8%,0.08,28,Strengthening Body II,All Soldiers HP_+8%
{强生健体} II,6081,9,80889,0,45000,45000,45000,22500,22500,43200,{所有士兵} {生命}_+9%,0.09,28,Strengthening Body II,All Soldiers HP_+9%
{强生健体} II,6081,10,131739,6071_10+6072_10,54000,54000,54000,27000,27000,43200,{所有士兵} {生命}_+10%,0.1,28,Strengthening Body II,All Soldiers HP_+10%
{所向披靡} II,6082,1,832,6073_1+6074_1,7200,7200,7200,3600,3600,43200,{所有士兵} {破坏}_+1%,0.01,27,Invincible II,All Soldiers DES_+1%
{所向披靡} II,6082,2,2184,0,10800,10800,10800,5400,5400,43200,{所有士兵} {破坏}_+2%,0.02,27,Invincible II,All Soldiers DES_+2%
{所向披靡} II,6082,3,4386,0,14400,14400,14400,7200,7200,43200,{所有士兵} {破坏}_+3%,0.03,27,Invincible II,All Soldiers DES_+3%
{所向披靡} II,6082,4,8040,0,18000,18000,18000,9000,9000,43200,{所有士兵} {破坏}_+4%,0.04,27,Invincible II,All Soldiers DES_+4%
{所向披靡} II,6082,5,12691,6073_5+6074_5,21600,21600,21600,10800,10800,43200,{所有士兵} {破坏}_+5%,0.05,27,Invincible II,All Soldiers DES_+5%
{所向披靡} II,6082,6,20764,0,27000,27000,27000,13500,13500,43200,{所有士兵} {破坏}_+6%,0.06,27,Invincible II,All Soldiers DES_+6%
{所向披靡} II,6082,7,33257,0,32400,32400,32400,16200,16200,43200,{所有士兵} {破坏}_+7%,0.07,27,Invincible II,All Soldiers DES_+7%
{所向披靡} II,6082,8,48826,0,37800,37800,37800,18900,18900,43200,{所有士兵} {破坏}_+8%,0.08,27,Invincible II,All Soldiers DES_+8%
{所向披靡} II,6082,9,80889,0,45000,45000,45000,22500,22500,43200,{所有士兵} {破坏}_+9%,0.09,27,Invincible II,All Soldiers DES_+9%
{所向披靡} II,6082,10,131739,6073_10+6074_10,54000,54000,54000,27000,27000,43200,{所有士兵} {破坏}_+10%,0.1,27,Invincible II,All Soldiers DES_+10%
