BoxId,BoxType,Awards,AiInfo
474,3,11_40900+1402_80+1403_40,"82004,82006,82007_80_1_3.365"
475,3,11_41100+1205_2+1403_27,"82008,82009,82011_80_1_3.37"
476,3,11_41200+1_412,"82012,82013,82014_80_1_3.375"
477,3,11_41400+21_41400+22_41400+23_41400+24_20700,"83001,83002,83003_80_1_3.38"
478,3,11_41500+3_69+4_69,"83004,83006,83007_80_1_3.385"
479,3,11_41700+1402_82+1403_41,"83008,83009,83011_80_1_3.39"
480,3,11_41800+1205_2+1403_27,"83012,83013,83014_80_1_3.395"
481,3,11_42000+1_420,"82001,82002,82003_80_1_3.4"
482,3,11_42100+21_42100+22_42100+23_42100+24_21050,"82004,82006,82007_80_1_3.405"
483,3,11_42300+3_70+4_70,"82008,82009,82011_80_1_3.41"
484,3,11_42400+1402_84+1403_42,"82012,82013,82014_80_1_3.415"
485,3,11_42600+1205_2+1403_28,"83001,83002,83003_80_1_3.42"
486,3,11_42700+1_427,"83004,83006,83007_80_1_3.425"
487,3,11_42900+21_42900+22_42900+23_42900+24_21450,"83008,83009,83011_80_1_3.43"
488,3,11_43000+3_71+4_71,"83012,83013,83014_80_1_3.435"
489,3,11_43200+1402_86+1403_43,"82001,82002,82003_80_1_3.44"
490,3,11_43300+1205_2+1403_28,"82004,82006,82007_80_1_3.445"
491,3,11_43500+1_435,"82008,82009,82011_80_1_3.45"
492,3,11_43600+21_43600+22_43600+23_43600+24_21800,"82012,82013,82014_80_1_3.455"
493,3,11_43800+3_73+4_73,"83001,83002,83003_80_1_3.46"
494,3,11_43900+1402_86+1403_43,"83004,83006,83007_80_1_3.465"
495,3,11_44100+1205_2+1403_29,"83008,83009,83011_80_1_3.47"
496,3,11_44200+1_442,"83012,83013,83014_80_1_3.475"
497,3,11_44400+21_44400+22_44400+23_44400+24_22200,"82001,82002,82003_80_1_3.48"
498,3,11_44500+3_74+4_74,"82004,82006,82007_80_1_3.485"
499,3,11_44700+1402_88+1403_44,"82008,82009,82011_80_1_3.49"
500,3,11_44800+1205_2+1403_29,"82012,82013,82014_80_1_3.495"
